RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE
53331375,20230607,M,20대,서울특별시,무응답,자기만족-즐거움을 위해,자기 계발을 위해
53331389,20230607,M,20대,충청남도,300만원 미만,자기만족-즐거움을 위해,없음
53331485,20230607,F,20대,대구광역시,무응답,스트레스 해소를 위해,남는 시간을 보내기 위해
53331531,20230607,M,60대,경상북도,300이상500만원 미만,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해
53331532,20230607,F,40대,서울특별시,300만원 미만,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해
53331549,20230607,M,50대,경기도,700만원 이상,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53331633,20230607,M,30대,충청남도,300만원 미만,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해
53331671,20230607,F,20대,경기도,700만원 이상,자기만족-즐거움을 위해,남는 시간을 보내기 위해
53331744,20230607,F,50대,경기도,700만원 이상,자기만족-즐거움을 위해,건강 관리를 위해
53331757,20230607,M,50대,경상북도,300만원 미만,가족-지인 등과 시간을 보내기 위해,기타
53331961,20230607,F,60대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,건강 관리를 위해
53332027,20230607,M,40대,경상남도,500이상700만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해
53332149,20230607,F,30대,부산광역시,300이상500만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해
53332314,20230607,M,50대,경기도,500이상700만원 미만,마음의 안정-휴식을 위해,없음
53332322,20230607,M,50대,인천광역시,700만원 이상,건강 관리를 위해,남는 시간을 보내기 위해
53332367,20230607,F,60대,부산광역시,300만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해
53332425,20230607,F,40대,대구광역시,300이상500만원 미만,대인 관계-교제를 위해,건강 관리를 위해
53332666,20230607,F,20대,경기도,300만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해
53332725,20230607,M,60대,충청남도,300이상500만원 미만,건강 관리를 위해,남는 시간을 보내기 위해
53332743,20230607,F,30대,울산광역시,300만원 미만,스트레스 해소를 위해,남는 시간을 보내기 위해
53332754,20230607,F,60대,경기도,500이상700만원 미만,건강 관리를 위해,자기만족-즐거움을 위해
53332758,20230607,F,60대,경기도,무응답,건강 관리를 위해,자기 계발을 위해
53332829,20230607,F,30대,대전광역시,300만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53332900,20230607,F,60대,경기도,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53332910,20230607,F,50대,강원도,300만원 미만,자기 계발을 위해,마음의 안정-휴식을 위해
53332926,20230607,M,30대,인천광역시,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53332944,20230607,F,50대,부산광역시,300만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해
53333123,20230607,M,50대,전라북도,700만원 이상,마음의 안정-휴식을 위해,자기 계발을 위해
53333150,20230607,F,50대,대구광역시,300만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53333207,20230607,F,60대,경상남도,500이상700만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해
53333262,20230607,F,40대,충청남도,300이상500만원 미만,건강 관리를 위해,스트레스 해소를 위해
53333311,20230607,M,20대,부산광역시,500이상700만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해
53333353,20230607,M,60대,경기도,300이상500만원 미만,건강 관리를 위해,대인 관계-교제를 위해
53333439,20230607,F,50대,전라남도,500이상700만원 미만,건강 관리를 위해,스트레스 해소를 위해
53333443,20230607,M,40대,경상남도,300이상500만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해
53333468,20230607,M,60대,인천광역시,700만원 이상,마음의 안정-휴식을 위해,대인 관계-교제를 위해
53333475,20230607,F,30대,부산광역시,300만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53333569,20230607,F,30대,부산광역시,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53333601,20230607,F,60대,대구광역시,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53333689,20230607,F,20대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해
53333806,20230607,M,60대,경상북도,300만원 미만,자기만족-즐거움을 위해,대인 관계-교제를 위해
53333863,20230607,F,30대,전라남도,300만원 미만,자기만족-즐거움을 위해,건강 관리를 위해
53334093,20230607,M,40대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,없음
53334510,20230607,M,50대,인천광역시,700만원 이상,스트레스 해소를 위해,건강 관리를 위해
53334573,20230607,M,30대,전라북도,300만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해
53334701,20230607,F,20대,충청북도,300만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해
53334824,20230607,M,40대,서울특별시,700만원 이상,남는 시간을 보내기 위해,자기만족-즐거움을 위해
53334902,20230607,M,30대,대전광역시,300이상500만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해
53334957,20230607,F,40대,전라남도,무응답,마음의 안정-휴식을 위해,자기 계발을 위해
53335092,20230607,F,20대,강원도,무응답,마음의 안정-휴식을 위해,건강 관리를 위해
53335208,20230607,F,50대,경상북도,300이상500만원 미만,마음의 안정-휴식을 위해,남는 시간을 보내기 위해
53335434,20230607,M,20대,광주광역시,무응답,자기 계발을 위해,건강 관리를 위해
53335506,20230607,M,40대,대구광역시,500이상700만원 미만,자기 계발을 위해,가족-지인 등과 시간을 보내기 위해
53335553,20230607,F,60대,서울특별시,300만원 미만,건강 관리를 위해,남는 시간을 보내기 위해
53335592,20230607,F,50대,서울특별시,700만원 이상,건강 관리를 위해,마음의 안정-휴식을 위해
53335761,20230607,F,30대,제주특별자치도,무응답,건강 관리를 위해,스트레스 해소를 위해
53335943,20230607,M,50대,부산광역시,700만원 이상,남는 시간을 보내기 위해,건강 관리를 위해
53336026,20230607,F,50대,서울특별시,300이상500만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
53336027,20230607,F,50대,울산광역시,500이상700만원 미만,스트레스 해소를 위해,건강 관리를 위해
53336092,20230607,M,40대,경상북도,300만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53336277,20230607,F,50대,경상북도,300이상500만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해
53336674,20230607,M,20대,경기도,500이상700만원 미만,대인 관계-교제를 위해,자기 계발을 위해
53336687,20230607,F,30대,경기도,300이상500만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해
53336721,20230607,F,60대,부산광역시,500이상700만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53336836,20230607,M,60대,인천광역시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53336868,20230607,M,50대,전라남도,500이상700만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53336935,20230607,F,50대,경상남도,300만원 미만,마음의 안정-휴식을 위해,자기 계발을 위해
53337129,20230607,M,50대,경기도,300만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해
53337581,20230607,F,20대,인천광역시,300만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53337641,20230607,F,60대,대구광역시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해
53337724,20230607,M,50대,경기도,300만원 미만,자기 계발을 위해,스트레스 해소를 위해
53337727,20230607,F,30대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53338019,20230607,M,50대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53338077,20230607,F,60대,경기도,500이상700만원 미만,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해
53338277,20230607,M,30대,경기도,300만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해
53338313,20230607,M,20대,대구광역시,무응답,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53338379,20230607,M,50대,충청남도,300만원 미만,마음의 안정-휴식을 위해,자기 계발을 위해
53338414,20230607,M,30대,전라북도,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53338430,20230607,F,30대,강원도,500이상700만원 미만,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해
53338443,20230607,M,30대,경기도,700만원 이상,자기만족-즐거움을 위해,건강 관리를 위해
53338460,20230607,F,40대,경기도,300만원 미만,가족-지인 등과 시간을 보내기 위해,없음
53338642,20230607,M,40대,경기도,700만원 이상,자기 계발을 위해,건강 관리를 위해
53338679,20230607,F,60대,서울특별시,300이상500만원 미만,건강 관리를 위해,자기만족-즐거움을 위해
53338766,20230607,F,20대,서울특별시,300만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53338807,20230607,F,20대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,자기 계발을 위해
53338833,20230607,F,60대,서울특별시,300이상500만원 미만,건강 관리를 위해,자기 계발을 위해
53338838,20230607,F,40대,광주광역시,500이상700만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해
53338950,20230607,F,40대,경기도,300이상500만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해
53339121,20230607,M,60대,서울특별시,300이상500만원 미만,건강 관리를 위해,자기만족-즐거움을 위해
53339171,20230607,F,20대,경상남도,500이상700만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해
53339236,20230607,F,30대,전라북도,300만원 미만,건강 관리를 위해,자기 계발을 위해
53339276,20230607,M,60대,울산광역시,500이상700만원 미만,건강 관리를 위해,자기만족-즐거움을 위해
53339337,20230607,F,20대,경기도,300만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53339354,20230607,M,40대,대구광역시,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53339357,20230607,M,60대,울산광역시,300만원 미만,마음의 안정-휴식을 위해,남는 시간을 보내기 위해
53339575,20230607,F,50대,경기도,700만원 이상,자기만족-즐거움을 위해,자기 계발을 위해
53339622,20230607,M,60대,대전광역시,300만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53339658,20230607,F,20대,경기도,무응답,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
53339763,20230607,M,50대,대전광역시,500이상700만원 미만,남는 시간을 보내기 위해,마음의 안정-휴식을 위해
53339781,20230607,F,40대,대구광역시,300만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해
53339817,20230607,M,30대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53339852,20230607,F,40대,전라남도,300만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53339894,20230607,M,50대,경상북도,무응답,마음의 안정-휴식을 위해,건강 관리를 위해
53340238,20230607,M,60대,대전광역시,300만원 미만,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해
53340259,20230607,M,40대,경상남도,300만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해
53340282,20230607,M,20대,경상남도,500이상700만원 미만,자기 계발을 위해,자기만족-즐거움을 위해
53340403,20230607,M,40대,전라북도,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
