RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53332027,20230607,M,40대,경상남도,500이상700만원 미만,1,3,11,60,0,20,20,0
53332149,20230607,F,30대,부산광역시,300이상500만원 미만,0,1,2,50,25,10,15,0
53332314,20230607,M,50대,경기도,500이상700만원 미만,1,4,13,70,30,0,0,0
53332322,20230607,M,50대,인천광역시,700만원 이상,3,5,25,20,60,0,20,0
53332367,20230607,F,60대,부산광역시,300만원 미만,3,5,25,40,30,20,10,0
53332425,20230607,F,40대,대구광역시,300이상500만원 미만,1,5,15,10,20,50,20,0
53332666,20230607,F,20대,경기도,300만원 미만,2,5,20,70,0,30,0,0
53332725,20230607,M,60대,충청남도,300이상500만원 미만,3,3,21,30,40,20,10,0
53332743,20230607,F,30대,울산광역시,300만원 미만,5,6,37,70,10,15,5,0
53332754,20230607,F,60대,경기도,500이상700만원 미만,3,3,21,20,50,0,30,0
53332758,20230607,F,60대,경기도,무응답,2,2,14,30,50,10,10,0
53332829,20230607,F,30대,대전광역시,300만원 미만,1,1,7,50,10,0,40,0
53332900,20230607,F,60대,경기도,300이상500만원 미만,3,3,21,50,0,0,50,0
53332910,20230607,F,50대,강원도,300만원 미만,1,5,15,0,50,50,0,0
53332926,20230607,M,30대,인천광역시,300이상500만원 미만,2,6,22,50,30,0,20,0
53332944,20230607,F,50대,부산광역시,300만원 미만,6,7,44,90,0,0,10,0
53333123,20230607,M,50대,전라북도,700만원 이상,1,1,7,30,40,30,0,0
53333150,20230607,F,50대,대구광역시,300만원 미만,8,8,56,40,20,20,20,0
53333207,20230607,F,60대,경상남도,500이상700만원 미만,8,8,56,70,10,10,10,0
53333262,20230607,F,40대,충청남도,300이상500만원 미만,1,2,9,50,0,0,50,0
53333311,20230607,M,20대,부산광역시,500이상700만원 미만,2,3,16,50,0,30,20,0
53333353,20230607,M,60대,경기도,300이상500만원 미만,3,5,25,20,50,10,20,0
53333439,20230607,F,50대,전라남도,500이상700만원 미만,2,3,16,40,50,0,10,0
53333443,20230607,M,40대,경상남도,300이상500만원 미만,3,8,31,20,20,0,30,30
53333468,20230607,M,60대,인천광역시,700만원 이상,3,10,35,80,10,5,5,0
53333475,20230607,F,30대,부산광역시,300만원 미만,5,5,35,90,0,0,10,0
53333569,20230607,F,30대,부산광역시,700만원 이상,2,3,16,50,0,50,0,0
53333601,20230607,F,60대,대구광역시,300이상500만원 미만,3,4,23,30,40,20,10,0
53333689,20230607,F,20대,서울특별시,300이상500만원 미만,5,8,41,60,10,0,30,0
53333806,20230607,M,60대,경상북도,300만원 미만,5,2,29,60,20,20,0,0
53333863,20230607,F,30대,전라남도,300만원 미만,0,4,8,0,0,50,50,0
53334093,20230607,M,40대,경기도,700만원 이상,3,8,31,20,80,0,0,0
53334510,20230607,M,50대,인천광역시,700만원 이상,5,6,37,40,40,10,10,0
53334573,20230607,M,30대,전라북도,300만원 미만,2,2,14,70,20,5,5,0
53334701,20230607,F,20대,충청북도,300만원 미만,3,12,39,20,40,10,30,0
53334824,20230607,M,40대,서울특별시,700만원 이상,4,10,40,50,0,50,0,0
53334902,20230607,M,30대,대전광역시,300이상500만원 미만,2,8,26,25,5,5,30,35
53334957,20230607,F,40대,전라남도,무응답,5,5,35,70,0,10,0,20
53335092,20230607,F,20대,강원도,무응답,3,5,25,50,20,10,20,0
53335208,20230607,F,50대,경상북도,300이상500만원 미만,1,3,11,50,20,10,20,0
53335434,20230607,M,20대,광주광역시,무응답,2,3,16,20,20,60,0,0
53335506,20230607,M,40대,대구광역시,500이상700만원 미만,5,9,43,20,10,10,60,0
53335553,20230607,F,60대,서울특별시,300만원 미만,3,5,25,40,30,10,20,0
53335592,20230607,F,50대,서울특별시,700만원 이상,5,5,35,20,10,50,20,0
53335761,20230607,F,30대,제주특별자치도,무응답,2,3,16,20,80,0,0,0
53335943,20230607,M,50대,부산광역시,700만원 이상,3,3,21,20,30,20,30,0
53336026,20230607,F,50대,서울특별시,300이상500만원 미만,5,5,35,35,35,0,30,0
53336027,20230607,F,50대,울산광역시,500이상700만원 미만,1,3,11,40,40,10,10,0
53336092,20230607,M,40대,경상북도,300만원 미만,2,6,22,30,30,10,30,0
53336277,20230607,F,50대,경상북도,300이상500만원 미만,4,8,36,20,30,30,20,0
53336674,20230607,M,20대,경기도,500이상700만원 미만,5,10,45,10,25,15,50,0
53336687,20230607,F,30대,경기도,300이상500만원 미만,0,2,4,100,0,0,0,0
53336721,20230607,F,60대,부산광역시,500이상700만원 미만,2,4,18,0,40,40,20,0
53336836,20230607,M,60대,인천광역시,300이상500만원 미만,3,8,31,35,10,5,50,0
53336868,20230607,M,50대,전라남도,500이상700만원 미만,2,5,20,50,0,0,50,0
53336935,20230607,F,50대,경상남도,300만원 미만,4,4,28,20,0,70,0,10
53337129,20230607,M,50대,경기도,300만원 미만,3,5,25,30,10,20,40,0
53337581,20230607,F,20대,인천광역시,300만원 미만,4,7,34,20,9,1,70,0
53337641,20230607,F,60대,대구광역시,500이상700만원 미만,6,3,36,30,20,20,30,0
53337724,20230607,M,50대,경기도,300만원 미만,5,10,45,10,20,30,40,0
53337727,20230607,F,30대,서울특별시,500이상700만원 미만,2,6,22,50,10,20,20,0
53338019,20230607,M,50대,서울특별시,700만원 이상,2,8,26,60,5,5,30,0
53338077,20230607,F,60대,경기도,500이상700만원 미만,0,3,6,20,10,0,40,30
53338277,20230607,M,30대,경기도,300만원 미만,2,2,14,20,60,0,20,0
53338313,20230607,M,20대,대구광역시,무응답,5,5,35,20,20,20,20,20
53338379,20230607,M,50대,충청남도,300만원 미만,1,3,11,50,20,20,10,0
53338414,20230607,M,30대,전라북도,500이상700만원 미만,3,11,37,40,10,30,20,0
53338430,20230607,F,30대,강원도,500이상700만원 미만,0,5,10,50,0,0,50,0
53338443,20230607,M,30대,경기도,700만원 이상,5,6,37,25,25,25,25,0
53338460,20230607,F,40대,경기도,300만원 미만,10,12,74,100,0,0,0,0
53338642,20230607,M,40대,경기도,700만원 이상,1,5,15,20,10,50,20,0
53338679,20230607,F,60대,서울특별시,300이상500만원 미만,4,4,28,20,50,20,10,0
53338766,20230607,F,20대,서울특별시,300만원 미만,3,5,25,50,5,5,40,0
53338807,20230607,F,20대,서울특별시,300이상500만원 미만,3,7,29,70,0,20,10,0
53338833,20230607,F,60대,서울특별시,300이상500만원 미만,4,2,24,35,65,0,0,0
53338838,20230607,F,40대,광주광역시,500이상700만원 미만,3,6,27,35,30,30,5,0
53338950,20230607,F,40대,경기도,300이상500만원 미만,3,8,31,70,10,10,10,0
53339121,20230607,M,60대,서울특별시,300이상500만원 미만,4,4,28,40,20,20,20,0
53339171,20230607,F,20대,경상남도,500이상700만원 미만,2,4,18,80,0,0,20,0
53339236,20230607,F,30대,전라북도,300만원 미만,1,2,9,40,30,10,20,0
53339276,20230607,M,60대,울산광역시,500이상700만원 미만,6,6,42,10,70,0,20,0
53339337,20230607,F,20대,경기도,300만원 미만,4,16,52,30,20,10,40,0
53339354,20230607,M,40대,대구광역시,700만원 이상,1,10,25,20,30,0,50,0
53339357,20230607,M,60대,울산광역시,300만원 미만,4,6,32,10,50,10,30,0
53339575,20230607,F,50대,경기도,700만원 이상,1,3,11,50,40,10,0,0
53339622,20230607,M,60대,대전광역시,300만원 미만,3,3,21,20,20,30,30,0
53339658,20230607,F,20대,경기도,무응답,7,9,53,70,10,15,5,0
53339763,20230607,M,50대,대전광역시,500이상700만원 미만,2,5,20,10,20,50,20,0
53339781,20230607,F,40대,대구광역시,300만원 미만,1,1,7,100,0,0,0,0
53339817,20230607,M,30대,서울특별시,700만원 이상,5,3,31,30,0,0,70,0
53339852,20230607,F,40대,전라남도,300만원 미만,1,3,11,100,0,0,0,0
53339894,20230607,M,50대,경상북도,무응답,2,5,20,30,30,10,30,0
53340238,20230607,M,60대,대전광역시,300만원 미만,2,2,14,20,0,0,70,10
53340259,20230607,M,40대,경상남도,300만원 미만,5,12,49,90,10,0,0,0
53340282,20230607,M,20대,경상남도,500이상700만원 미만,5,8,41,40,30,5,25,0
53340403,20230607,M,40대,전라북도,300이상500만원 미만,2,4,18,20,50,30,0,0
53340422,20230607,F,50대,인천광역시,500이상700만원 미만,2,5,20,80,0,0,20,0
53340534,20230607,F,50대,경기도,500이상700만원 미만,1,5,15,50,30,0,20,0
53340551,20230607,F,40대,경상남도,700만원 이상,1,2,9,30,20,20,30,0
53340732,20230607,M,60대,경상북도,300이상500만원 미만,5,3,31,50,0,10,40,0
53340925,20230607,F,60대,서울특별시,300만원 미만,2,8,26,70,0,10,20,0
53341103,20230607,M,30대,경상남도,700만원 이상,1,12,29,30,40,10,20,0
53341473,20230607,M,50대,서울특별시,300이상500만원 미만,6,6,42,45,25,10,20,0
53341547,20230607,M,20대,대구광역시,700만원 이상,3,12,39,60,30,5,5,0
53341553,20230607,M,40대,경기도,500이상700만원 미만,2,1,12,20,50,30,0,0
53341558,20230607,F,40대,대구광역시,700만원 이상,1,1,7,30,30,10,30,0
53341729,20230607,F,60대,경기도,300이상500만원 미만,5,6,37,50,20,0,30,0
53341739,20230607,F,60대,서울특별시,500이상700만원 미만,3,5,25,15,5,50,30,0
53341790,20230607,M,60대,충청남도,700만원 이상,3,6,27,50,30,10,10,0
53341801,20230607,M,40대,전라남도,300만원 미만,3,1,17,40,10,0,50,0
53341860,20230607,M,60대,경기도,300만원 미만,1,2,9,50,10,5,35,0
53341862,20230607,M,30대,경기도,300이상500만원 미만,1,5,15,20,10,50,20,0
53342367,20230607,F,20대,경상남도,무응답,4,6,32,50,10,5,35,0
53342613,20230607,F,60대,대구광역시,300만원 미만,1,3,11,50,0,0,50,0
53342649,20230607,F,40대,대전광역시,500이상700만원 미만,1,3,11,50,30,20,0,0
53342675,20230607,F,30대,대구광역시,300이상500만원 미만,2,6,22,50,10,10,30,0
53342827,20230607,M,50대,부산광역시,300이상500만원 미만,3,8,31,50,20,0,30,0
53342840,20230607,F,50대,충청남도,300이상500만원 미만,3,3,21,50,0,20,30,0
53343066,20230607,M,50대,경기도,500이상700만원 미만,2,3,16,30,20,20,30,0
53343471,20230607,M,20대,서울특별시,무응답,5,16,57,50,0,0,50,0
53343513,20230607,M,50대,경기도,300이상500만원 미만,5,4,33,50,30,10,10,0
53343614,20230607,F,40대,인천광역시,700만원 이상,1,6,17,20,10,10,60,0
53343652,20230607,F,20대,서울특별시,300만원 미만,2,4,18,50,20,10,20,0
53343684,20230607,M,20대,서울특별시,300이상500만원 미만,2,12,34,0,10,0,90,0
53343762,20230607,F,40대,인천광역시,300이상500만원 미만,3,5,25,30,0,30,40,0
53343828,20230607,M,20대,충청남도,무응답,7,12,59,60,0,0,40,0
53343857,20230607,M,30대,경기도,700만원 이상,1,8,21,40,20,20,20,0
53343888,20230607,F,60대,경기도,300이상500만원 미만,10,15,80,60,10,10,20,0
53343903,20230607,M,50대,서울특별시,300만원 미만,15,10,95,80,0,0,20,0
53343932,20230607,F,50대,경상북도,700만원 이상,6,6,42,50,10,10,30,0
53344107,20230607,M,20대,부산광역시,무응답,5,6,37,50,0,0,50,0
53344219,20230607,F,30대,광주광역시,300만원 미만,2,8,26,35,25,10,30,0
53344318,20230607,F,60대,충청남도,500이상700만원 미만,10,4,58,50,0,0,50,0
53344491,20230607,M,40대,대전광역시,700만원 이상,3,6,27,100,0,0,0,0
53344726,20230607,M,50대,부산광역시,300이상500만원 미만,12,14,88,40,5,5,50,0
53344825,20230607,M,20대,서울특별시,300이상500만원 미만,2,3,16,100,0,0,0,0
53344917,20230607,F,50대,경기도,300만원 미만,1,2,9,50,20,0,20,10
53344969,20230607,F,20대,서울특별시,700만원 이상,5,15,55,50,10,20,20,0
53344970,20230607,M,60대,부산광역시,300만원 미만,6,7,44,40,30,0,10,20
53345023,20230607,F,20대,경기도,300이상500만원 미만,3,3,21,80,10,10,0,0
53345222,20230607,M,40대,경기도,300이상500만원 미만,1,3,11,50,0,0,0,50
53345355,20230607,M,50대,경상북도,300이상500만원 미만,2,3,16,40,10,20,20,10
53345407,20230607,M,20대,경기도,300이상500만원 미만,2,5,20,100,0,0,0,0
53345448,20230607,M,20대,강원도,무응답,6,8,46,60,10,0,30,0
53345535,20230607,M,60대,광주광역시,700만원 이상,3,5,25,60,20,10,10,0
53345692,20230607,M,40대,충청북도,300이상500만원 미만,3,5,25,30,20,0,50,0
53345745,20230607,F,40대,인천광역시,300이상500만원 미만,2,2,14,50,0,0,20,30
53345746,20230607,M,50대,서울특별시,500이상700만원 미만,3,5,25,0,50,30,20,0
53345917,20230607,M,50대,충청남도,300이상500만원 미만,3,8,31,30,60,5,5,0
53345937,20230607,M,20대,전라북도,300만원 미만,4,8,36,60,20,10,10,0
53346347,20230607,M,60대,대전광역시,500이상700만원 미만,4,12,44,20,20,10,30,20
53346353,20230607,M,20대,경기도,300만원 미만,2,3,16,25,25,50,0,0
53346740,20230607,F,60대,경상북도,300이상500만원 미만,3,2,19,50,30,20,0,0
53346801,20230607,M,30대,경기도,300이상500만원 미만,3,5,25,70,0,0,30,0
53346805,20230607,M,30대,경기도,300이상500만원 미만,3,8,31,20,50,20,10,0
53347000,20230607,M,20대,울산광역시,300만원 미만,1,4,13,50,20,10,20,0
53347347,20230607,M,30대,전라북도,700만원 이상,1,3,11,50,50,0,0,0
53347374,20230607,M,60대,대구광역시,300만원 미만,8,8,56,80,10,0,10,0
53347402,20230607,F,60대,대전광역시,700만원 이상,2,6,22,5,50,30,10,5
53347404,20230607,F,50대,서울특별시,700만원 이상,1,3,11,60,10,20,10,0
53347557,20230607,M,40대,서울특별시,300이상500만원 미만,0,12,24,90,0,0,10,0
53347574,20230607,M,40대,부산광역시,300이상500만원 미만,3,8,31,60,30,0,10,0
53347606,20230607,F,40대,충청북도,300이상500만원 미만,1,5,15,70,0,0,30,0
53347659,20230607,M,40대,경상남도,700만원 이상,1,0,5,50,0,0,50,0
53347763,20230607,F,40대,대구광역시,300만원 미만,2,0,10,80,0,0,20,0
53347854,20230607,M,40대,경기도,500이상700만원 미만,5,10,45,20,20,40,20,0
53347864,20230607,F,20대,경상남도,300만원 미만,4,10,40,100,0,0,0,0
53347884,20230607,F,60대,서울특별시,500이상700만원 미만,6,4,38,40,30,0,30,0
53348006,20230607,F,30대,전라북도,300이상500만원 미만,1,5,15,99,0,0,1,0
53348042,20230607,M,30대,경기도,700만원 이상,4,8,36,20,30,30,20,0
53348111,20230607,M,20대,전라남도,300만원 미만,1,3,11,50,0,30,20,0
53348143,20230607,M,30대,경기도,무응답,2,6,22,100,0,0,0,0
53348250,20230607,F,50대,경기도,300이상500만원 미만,3,1,17,20,0,0,80,0
53348392,20230607,M,30대,경상남도,500이상700만원 미만,1,4,13,50,50,0,0,0
53348620,20230607,F,30대,대구광역시,300만원 미만,2,5,20,50,0,0,50,0
53348763,20230607,M,20대,경기도,500이상700만원 미만,3,12,39,60,20,10,10,0
53348885,20230607,M,50대,서울특별시,300만원 미만,8,8,56,50,10,10,30,0
53348907,20230607,M,40대,충청남도,300이상500만원 미만,4,6,32,30,20,20,30,0
53349078,20230607,M,30대,부산광역시,300만원 미만,6,5,40,40,20,30,10,0
53349103,20230607,F,40대,충청남도,500이상700만원 미만,3,3,21,20,10,20,50,0
53349224,20230607,F,20대,서울특별시,700만원 이상,2,4,18,100,0,0,0,0
53349228,20230607,M,50대,경기도,700만원 이상,2,6,22,80,0,0,20,0
53349348,20230607,M,30대,대구광역시,300만원 미만,12,3,66,90,1,3,6,0
53349481,20230607,M,30대,서울특별시,300이상500만원 미만,2,10,30,60,10,10,20,0
53349668,20230607,F,40대,부산광역시,300만원 미만,3,10,35,50,0,50,0,0
53349730,20230607,M,50대,경기도,700만원 이상,4,5,30,40,50,0,10,0
53349971,20230607,F,50대,인천광역시,500이상700만원 미만,4,7,34,100,0,0,0,0
53350084,20230607,F,50대,경기도,300이상500만원 미만,1,7,19,60,15,15,10,0
53350127,20230607,F,20대,경기도,500이상700만원 미만,2,5,20,50,10,20,20,0
53350238,20230607,F,60대,부산광역시,700만원 이상,4,10,40,80,0,0,20,0
53350250,20230607,F,20대,광주광역시,무응답,6,5,40,80,0,0,20,0
53350469,20230607,M,60대,대구광역시,300이상500만원 미만,3,5,25,70,15,0,15,0
53350476,20230607,F,50대,대전광역시,700만원 이상,2,4,18,20,80,0,0,0
53350547,20230607,M,50대,경기도,700만원 이상,2,5,20,40,5,5,30,20
53350903,20230607,M,30대,울산광역시,300만원 미만,6,12,54,100,0,0,0,0
53351052,20230607,F,30대,인천광역시,300만원 미만,5,5,35,30,10,10,50,0
53351085,20230607,M,20대,경기도,무응답,4,12,44,100,0,0,0,0
53351111,20230607,F,50대,제주특별자치도,300이상500만원 미만,2,5,20,60,10,20,5,5
53351149,20230607,M,60대,인천광역시,700만원 이상,5,3,31,35,15,35,15,0
53351189,20230607,F,40대,충청북도,700만원 이상,2,10,30,10,50,10,30,0
53351218,20230607,M,40대,서울특별시,300이상500만원 미만,2,4,18,20,10,10,60,0
53351309,20230607,F,40대,충청남도,300이상500만원 미만,2,15,40,30,30,10,20,10
53351625,20230607,F,60대,강원도,300이상500만원 미만,2,3,16,60,0,30,10,0
53351631,20230607,M,40대,광주광역시,700만원 이상,1,5,15,40,30,10,20,0
53351659,20230607,F,60대,경기도,700만원 이상,2,1,12,10,30,20,30,10
53351761,20230607,M,40대,제주특별자치도,300이상500만원 미만,2,2,14,40,30,0,30,0
53351980,20230607,F,40대,경기도,700만원 이상,2,6,22,50,50,0,0,0
53352083,20230607,F,50대,부산광역시,700만원 이상,2,4,18,30,40,10,10,10
53352250,20230607,M,60대,대전광역시,700만원 이상,2,4,18,60,0,20,20,0
