RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE
53336045,20230531,M,40대,세종특별자치시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해
53336127,20230531,M,60대,대전광역시,300만원 미만,남는 시간을 보내기 위해,없음
53336152,20230531,M,40대,대전광역시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,남는 시간을 보내기 위해
53336169,20230531,M,40대,충청남도,300만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53336196,20230531,F,50대,경기도,500이상700만원 미만,자기 계발을 위해,가족-지인 등과 시간을 보내기 위해
53336341,20230531,M,30대,울산광역시,300이상500만원 미만,자기만족-즐거움을 위해,남는 시간을 보내기 위해
53336435,20230531,F,30대,경기도,300이상500만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해
53336497,20230531,F,60대,경기도,300만원 미만,스트레스 해소를 위해,건강 관리를 위해
53336602,20230531,F,30대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53336677,20230531,M,60대,인천광역시,300이상500만원 미만,건강 관리를 위해,자기만족-즐거움을 위해
53336731,20230531,M,20대,전라남도,300만원 미만,자기 계발을 위해,남는 시간을 보내기 위해
53336738,20230531,F,20대,울산광역시,무응답,자기 계발을 위해,자기만족-즐거움을 위해
53336770,20230531,M,60대,경기도,500이상700만원 미만,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해
53336824,20230531,F,60대,경기도,300만원 미만,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해
53336832,20230531,M,30대,서울특별시,300만원 미만,마음의 안정-휴식을 위해,없음
53336926,20230531,M,30대,서울특별시,500이상700만원 미만,자기 계발을 위해,자기만족-즐거움을 위해
53336983,20230531,F,60대,부산광역시,300이상500만원 미만,건강 관리를 위해,자기 계발을 위해
53337066,20230531,M,30대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,건강 관리를 위해
53337104,20230531,F,60대,충청북도,500이상700만원 미만,자기만족-즐거움을 위해,건강 관리를 위해
53337501,20230531,F,50대,충청북도,500이상700만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53337649,20230531,M,40대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
