,company,etc,paper_name,paper_url,submit,submit_date,time
21,제이콘텐트리,-,참고서류  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000455,제이콘텐트리,2020.06.29,16:58
22,신세계건설,본 공시사항은 한국거래소 유가증권시장본부 소관임,단기차입금증가결정  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800498,신세계건설,2020.06.29,16:57
23,한라,본 공시사항은 한국거래소 유가증권시장본부 소관임,[기재정정]단일판매ㆍ공급계약체결  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800480,한라,2020.06.29,16:56
24,제이콘텐트리,-,주주총회소집공고  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000451,제이콘텐트리,2020.06.29,16:55
25,삼성공조,본 공시사항은 한국거래소 유가증권시장본부 소관임,최대주주등소유주식변동신고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800491,삼성공조,2020.06.29,16:54
26,동원금속,본 보고서는 연결부분을 포함한 것임,사업보고서 (2020.03)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000448,동원금속,2020.06.29,16:53
27,휠라홀딩스,본 공시사항은 한국거래소 유가증권시장본부 소관임,최대주주등소유주식변동신고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800478,휠라홀딩스,2020.06.29,16:48
28,세진중공업,-,주요사항보고서(유형자산양도결정)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000393,세진중공업,2020.06.29,16:40
29,현대홈쇼핑,본 공시사항은 한국거래소 유가증권시장본부 소관임,단기차입금증가결정(자회사의 주요경영사항)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800456,현대홈쇼핑,2020.06.29,16:37
30,유니온,본 공시사항은 한국거래소 유가증권시장본부 소관임,타법인주식및출자증권처분결정(자율공시)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800452,유니온,2020.06.29,16:37
31,동양,본 공시사항은 공정거래위원회 소관임,동일인등출자계열회사와의상품ㆍ용역거래변경  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000420,동양,2020.06.29,16:36
32,대원제약,-,자기주식취득결과보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000401,대원제약,2020.06.29,16:27
33,범양건영,본 보고서 제출 후 정정신고가 있으니 관련 보고서를 참조하시기 바람,[기재정정]주요사항보고서(유상증자결정)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000392,범양건영,2020.06.29,16:25
34,대신증권,본 공시사항은 한국거래소 유가증권시장본부 소관임,최대주주등소유주식변동신고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800432,대신증권,2020.06.29,16:25
35,교보증권,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000389,교보증권,2020.06.29,16:19
36,진흥기업,본 공시사항은 한국거래소 유가증권시장본부 소관임,[기재정정]단일판매ㆍ공급계약체결  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800394,진흥기업,2020.06.29,16:18
37,교보증권,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000388,교보증권,2020.06.29,16:18
38,교보증권,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000386,교보증권,2020.06.29,16:17
39,키다리스튜디오,본 공시사항은 한국거래소 유가증권시장본부 소관임,타법인주식및출자증권취득결정(자율공시)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800369,키다리스튜디오,2020.06.29,16:13
40,필룩스,본 공시사항은 한국거래소 유가증권시장본부 소관임,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800384,필룩스,2020.06.29,16:08
41,대동전자,본 보고서는 연결부분을 포함한 것임,사업보고서 (2020.03)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000367,대동전자,2020.06.29,16:06
42,교보증권,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000364,교보증권,2020.06.29,16:05
43,삼성증권,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000359,삼성증권,2020.06.29,16:04
44,신영증권,본 보고서 제출 후 정정신고가 있으니 관련 보고서를 참조하시기 바람,사업보고서 (2020.03)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000357,신영증권,2020.06.29,16:03
45,삼성에스디에스,본 공시사항은 공정거래위원회 소관임,특수관계인과의보험거래  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000348,삼성에스디에스,2020.06.29,16:00
46,삼성물산,본 공시사항은 한국거래소 유가증권시장본부 소관임,최대주주등소유주식변동신고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800325,삼성물산,2020.06.29,15:59
47,세이브존I&C,본 공시사항은 한국거래소 유가증권시장본부 소관임,최대주주등소유주식변동신고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800322,세이브존I&C,2020.06.29,15:58
48,교보증권,-,일괄신고추가서류(기타파생결합사채)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000340,교보증권,2020.06.29,15:56
49,우진아이엔에스,-,주요사항보고서(자기주식취득신탁계약해지결정)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000329,우진아이엔에스,2020.06.29,15:55
50,교보증권,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000332,교보증권,2020.06.29,15:49
51,삼광글라스,본 공시사항은 공정거래위원회 소관임,동일인등출자계열회사와의상품ㆍ용역거래  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000331,삼광글라스,2020.06.29,15:48
52,기업은행,본 공시사항은 한국거래소 유가증권시장본부 소관임,최대주주등소유주식변동신고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800306,기업은행,2020.06.29,15:47
53,교보증권,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000328,교보증권,2020.06.29,15:47
54,삼광글라스,본 공시사항은 공정거래위원회 소관임,동일인등출자계열회사와의상품ㆍ용역거래변경  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000327,삼광글라스,2020.06.29,15:46
55,교보증권,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000324,교보증권,2020.06.29,15:45
56,엔에이치엔,본 공시사항은 한국거래소 유가증권시장본부 소관임,기업설명회(IR)개최(안내공시)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800288,엔에이치엔,2020.06.29,15:41
57,한국주철관공업,본 보고서는 연결부분을 포함한 것임,사업보고서 (2020.03)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000304,한국주철관공업,2020.06.29,15:34
58,교보증권,-,일괄신고추가서류(기타파생결합사채)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000300,교보증권,2020.06.29,15:32
59,신한알파리츠,본 보고서는 연결부분을 포함한 것임,사업보고서 (2020.03)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000296,신한알파리츠,2020.06.29,15:30
60,한국항공우주,본 공시사항은 한국거래소 유가증권시장본부 소관임,단일판매ㆍ공급계약체결  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800256,한국항공우주,2020.06.29,15:29
61,아시아나항공,-,주요사항보고서(전환사채권발행결정)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000283,아시아나항공,2020.06.29,15:26
62,교보증권,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000289,교보증권,2020.06.29,15:26
63,신영증권,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000287,신영증권,2020.06.29,15:23
64,신영증권,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000286,신영증권,2020.06.29,15:22
65,세아특수강,본 공시사항은 한국거래소 유가증권시장본부 소관임,최대주주등소유주식변동신고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800264,세아특수강,2020.06.29,15:21
66,에이리츠,본 공시사항은 한국거래소 유가증권시장본부 소관임,최대주주등소유주식변동신고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800263,에이리츠,2020.06.29,15:20
67,키움증권,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000282,키움증권,2020.06.29,15:19
68,신영증권,-,일괄신고추가서류(파생결합증권-주가연계증권)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000278,신영증권,2020.06.29,15:15
69,키움증권,-,일괄신고추가서류(파생결합증권-주가연계증권)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000274,키움증권,2020.06.29,15:13
70,신영증권,-,일괄신고추가서류(기타파생결합사채)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000270,신영증권,2020.06.29,15:12
71,키움증권,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000262,키움증권,2020.06.29,15:06
72,키움증권,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000261,키움증권,2020.06.29,15:05
73,DB금융투자,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000257,DB금융투자,2020.06.29,15:01
74,STX,본 공시사항은 한국거래소 유가증권시장본부 소관임,유상증자또는주식관련사채등의발행결과(자율공시)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800234,STX,2020.06.29,14:59
75,삼성증권,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000256,삼성증권,2020.06.29,14:59
76,신영증권,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000255,신영증권,2020.06.29,14:59
77,교보증권,-,일괄신고추가서류(기타파생결합사채)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000254,교보증권,2020.06.29,14:57
78,신영증권,-,일괄신고추가서류(기타파생결합사채)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000252,신영증권,2020.06.29,14:56
79,대신증권,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000251,대신증권,2020.06.29,14:53
80,대신증권,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000247,대신증권,2020.06.29,14:51
81,청호컴넷,본 공시사항은 한국거래소 유가증권시장본부 소관임,[기재정정]주주총회소집결의  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800215,청호컴넷,2020.06.29,14:48
82,그린케미칼,-,신탁계약에의한취득상황보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000240,그린케미칼,2020.06.29,14:43
83,미래에셋대우,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000239,미래에셋대우,2020.06.29,14:43
84,HDC,본 공시사항은 한국거래소 유가증권시장본부 소관임,단일판매ㆍ공급계약체결(자회사의 주요경영사항)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800213,HDC,2020.06.29,14:42
85,HDC현대산업개발,본 공시사항은 한국거래소 유가증권시장본부 소관임,단일판매ㆍ공급계약체결  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800208,HDC현대산업개발,2020.06.29,14:34
86,키움증권,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000232,키움증권,2020.06.29,14:30
87,GS건설,본 공시사항은 한국거래소 유가증권시장본부 소관임,[기재정정]단일판매ㆍ공급계약체결  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800192,GS건설,2020.06.29,14:12
88,교보증권,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000223,교보증권,2020.06.29,14:12
89,미래에셋대우,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000219,미래에셋대우,2020.06.29,14:09
90,미래에셋대우,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000217,미래에셋대우,2020.06.29,14:09
91,유진증권,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000216,유진증권,2020.06.29,14:09
92,대성산업,-,[기재정정]주요사항보고서(자기주식처분결정)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000201,대성산업,2020.06.29,14:08
93,유진증권,-,일괄신고추가서류(파생결합사채-주가연계파생결합사채)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000212,유진증권,2020.06.29,14:05
94,미래에셋대우,-,일괄신고추가서류(파생결합사채-주가연계파생결합사채)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000211,미래에셋대우,2020.06.29,14:04
95,도화엔지니어링,본 공시사항은 한국거래소 유가증권시장본부 소관임,[기재정정]단일판매ㆍ공급계약체결  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800185,도화엔지니어링,2020.06.29,14:01
96,국동,본 공시사항은 한국거래소 유가증권시장본부 소관임,유상증자또는주식관련사채등의발행결과(자율공시)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800187,국동,2020.06.29,13:58
97,삼성증권,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000197,삼성증권,2020.06.29,13:51
98,교보증권,-,일괄신고추가서류(기타파생결합사채)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000193,교보증권,2020.06.29,13:50
99,삼성증권,-,일괄신고추가서류(파생결합증권-주가연계증권)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000191,삼성증권,2020.06.29,13:49
