"시도별","경제활동별",2021 p),2021 p),2021 p)
"시도별","경제활동별",명목,실질,실질기여도
"광주광역시","　문화 및 기타서비스업",1539205,1275567,0.09
"대전광역시","지역내총생산(시장가격)",46379776,42368245,2.81
"대전광역시","순생산물세",3276966,2818513,0.19
"대전광역시","총부가가치(기초가격)",43102810,39548958,2.62
"대전광역시","농업, 임업 및 어업",40995,37926,0.01
"대전광역시","광제조업",6949152,6900853,0.67
"대전광역시","　광업",1653,1639,0.00
"대전광역시","　제조업",6947499,6899079,0.67
"대전광역시","　　음식료품 및 담배제조업",1181858,1183294,0.05
"대전광역시","　　섬유 의복 및 가죽 제품 제조업",98882,90276,0.01
"대전광역시","　　목재종이인쇄 및 복제업",502915,440342,0.04
"대전광역시","　　석탄 및 석유 화학제품 제조업",1270678,1137728,-0.08
"대전광역시","　　비금속광물 및 금속제품 제조업",855442,707451,-0.08
"대전광역시","　　전기 전자 및 정밀기기 제조업",1907090,2124099,0.43
"대전광역시","　　기계 운송장비 및 기타 제품 제조업",1130634,1203992,0.30
"대전광역시","전기, 가스, 증기 및 공기 조절 공급업",356665,687239,0.05
"대전광역시","건설업",2329900,1872787,0.36
"대전광역시","서비스업",33426098,30121951,1.54
"대전광역시","　도매 및 소매업",2917634,2906161,0.28
"대전광역시","　운수 및 창고업",837412,815629,0.00
"대전광역시","　숙박 및 음식점업",1062635,926451,0.05
"대전광역시","　정보통신업",1538980,1538863,0.21
"대전광역시","　금융 및 보험업",2454992,2372957,0.21
"대전광역시","　부동산업",3958627,3622861,-0.01
"대전광역시","　사업서비스업",8516395,7228170,-0.04
"대전광역시","　공공 행정, 국방 및 사회보장 행정",4439941,3784223,0.33
"대전광역시","　교육 서비스업",3163366,2895685,0.31
"대전광역시","　보건업 및 사회복지 서비스업",3062045,2819643,0.19
"대전광역시","　문화 및 기타서비스업",1474071,1230301,0.00
"울산광역시","지역내총생산(시장가격)",77683017,69621279,3.70
"울산광역시","순생산물세",13724064,11758469,0.87
"울산광역시","총부가가치(기초가격)",63958953,57886573,2.83
"울산광역시","농업, 임업 및 어업",151375,144210,0.02
"울산광역시","광제조업",38926653,35383212,2.35
"울산광역시","　광업",46191,49981,-0.01
"울산광역시","　제조업",38880462,35330445,2.35
"울산광역시","　　음식료품 및 담배제조업",192581,172258,0.00
"울산광역시","　　섬유 의복 및 가죽 제품 제조업",248968,231122,-0.02
"울산광역시","　　목재종이인쇄 및 복제업",425643,365713,0.06
"울산광역시","　　석탄 및 석유 화학제품 제조업",19160037,15557852,0.67
"울산광역시","　　비금속광물 및 금속제품 제조업",6061350,4103717,-0.41
"울산광역시","　　전기 전자 및 정밀기기 제조업",2103935,2144409,0.82
"울산광역시","　　기계 운송장비 및 기타 제품 제조업",10687948,12779357,1.24
"울산광역시","전기, 가스, 증기 및 공기 조절 공급업",1445564,2323368,-0.01
"울산광역시","건설업",2314956,1853290,-0.41
"울산광역시","서비스업",21120405,18459606,0.88
"울산광역시","　도매 및 소매업",1777943,1769646,0.02
"울산광역시","　운수 및 창고업",2589853,1763401,0.10
"울산광역시","　숙박 및 음식점업",776138,681256,-0.04
"울산광역시","　정보통신업",523002,619121,0.03
"울산광역시","　금융 및 보험업",1626663,1563671,0.07
"울산광역시","　부동산업",2678956,2429275,0.04
"울산광역시","　사업서비스업",3781255,3134827,0.27
"울산광역시","　공공 행정, 국방 및 사회보장 행정",1957643,1685446,0.09
"울산광역시","　교육 서비스업",2373306,2157707,0.18
"울산광역시","　보건업 및 사회복지 서비스업",1886229,1739392,0.09
"울산광역시","　문화 및 기타서비스업",1149417,925431,0.03
"세종특별자치시","지역내총생산(시장가격)",13898917,12489323,7.22
"세종특별자치시","순생산물세",978129,839184,0.07
"세종특별자치시","총부가가치(기초가격)",12920788,11652797,7.15
"세종특별자치시","농업, 임업 및 어업",174845,147814,0.06
"세종특별자치시","광제조업",2938832,2974579,1.94
"세종특별자치시","　광업",18710,18903,0.01
"세종특별자치시","　제조업",2920122,2956119,1.94
"세종특별자치시","　　음식료품 및 담배제조업",222120,197615,-0.03
"세종특별자치시","　　섬유 의복 및 가죽 제품 제조업",36267,44316,-0.08
"세종특별자치시","　　목재종이인쇄 및 복제업",248281,219096,0.09
"세종특별자치시","　　석탄 및 석유 화학제품 제조업",836303,795330,0.93
