SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
34381,2023-06,483,김삿갓문화제,김삿갓문화제,60,문화축제
34382,2023-06,1153,김유정문학제,김유정문학제,26,문화축제
34383,2023-06,367,김천국제가족연극제,김천국제가족연극제,750,문화축제
34384,2023-06,368,김천예술제,김천예술제,22,문화축제
34385,2023-06,370,김천자두포도축제,김천자두포도축제,27,문화축제
34386,2023-06,416,김포예술제,김포예술제,30,문화축제
34387,2023-06,237,김해독서대전,김해독서대전,40,문화축제
34388,2023-06,236,김해분청도자기축제,김해분청도자기축제,120,문화축제
34389,2023-06,740,낙동강유채꽃 축제,낙동강유채꽃축제,18,문화축제
34390,2023-06,762,난설헌문화제,난설헌문화제,200,문화축제
34391,2023-06,630,남도음식문화큰잔치,남도음식문화큰잔치,110,문화축제
34392,2023-06,431,남부면 수국축제,남부면수국축제,6770,문화축제
34393,2023-06,560,남이흥장군 문화제,남이흥장군문화제,17,문화축제
34394,2023-06,1091,내 집 앞 세계영화제,내집앞세계영화제,190,문화축제
34395,2023-06,304,노원등축제,노원등축제,16,문화축제
34396,2023-06,305,노원탈축제,노원탈축제,350,문화축제
34397,2023-06,186,논산딸기축제,논산딸기축제,1770,문화축제
34398,2023-06,29,단감축제,단감축제,18,문화축제
34399,2023-06,480,단종문화제,단종문화제,170,문화축제
34400,2023-06,466,달마고도 걷기축제,달마고도걷기축제,27,문화축제
34401,2023-06,39,달맞이축제,달맞이축제,35,문화축제
34402,2023-06,474,달성토성마을축제,달성토성마을축제,15,문화축제
34403,2023-06,712,달집태우기,달집태우기,390,문화축제
34404,2023-06,733,담양대나무축제,담양대나무축제,1550,문화축제
34405,2023-06,734,담양산타축제,담양산타축제,70,문화축제
34406,2023-06,1082,대관령눈꽃축제,대관령눈꽃축제,450,문화축제
34407,2023-06,697,대구국제뮤지컬페스티벌,대구국제뮤지컬페스티벌,1330,문화축제
34408,2023-06,696,대구국제오페라축제,대구국제오페라축제,410,문화축제
34409,2023-06,695,대구국제재즈축제,대구국제재즈축제,30,문화축제
34410,2023-06,705,대구국제패션문화페스티벌,대구국제패션문화페스티벌,13,문화축제
34411,2023-06,957,대구스트리트 모터 페스티벌,대구스트리트모터페스티벌,90,문화축제
34412,2023-06,700,대구약령시한방문화축제,대구약령시한방문화축제,120,문화축제
34413,2023-06,954,대구워터페스티벌,대구워터페스티벌,230,문화축제
34414,2023-06,702,대구치맥페스티벌,대구치맥페스티벌,27200,문화축제
34415,2023-06,701,대구포크페스티벌,대구포크페스티벌,270,문화축제
34416,2023-06,426,대금산진달래축제,대금산진달래축제,14,문화축제
34417,2023-06,13,도봉구민 건강축제,도봉구민건강축제,14,문화축제
34418,2023-06,1032,도솔산지구전투 전승행사,도솔산지구전투전승행사,250,문화축제
34419,2023-06,1015,독일마을 맥주축제,독일마을맥주축제,720,문화축제
34420,2023-06,880,돈내코계곡 원앙축제,돈내코계곡원앙축제,20,문화축제
34421,2023-06,481,동강국제사진제,동강국제사진제,670,문화축제
34422,2023-06,768,동래읍성역사축제,동래읍성역사축제,210,문화축제
34423,2023-06,911,동성로축제,동성로축제,1750,문화축제
34424,2023-06,122,동작구 도서관 축제,동작구도서관축제,24,문화축제
34425,2023-06,663,동춘당문화제,동춘당문화제,30,문화축제
34426,2023-06,907,동해무릉제,동해무릉제,460,문화축제
34427,2023-06,686,들노래축제,들노래축제,80,문화축제
34428,2023-06,469,땅끝수국축제,땅끝수국축제,480,문화축제
34429,2023-06,1096,롤링나이트 2019,롤링나이트,10,문화축제
34430,2023-06,178,류방택 별 축제,류방택별축제,3030,문화축제
34431,2023-06,281,마곡사 신록축제,마곡사신록축제,14,문화축제
34434,2023-06,629,명량대첩축제,명량대첩축제,440,문화축제
34435,2023-06,892,목포항구축제,목포항구축제,670,문화축제
34436,2023-06,327,무장읍성축제,무장읍성축제,16,문화축제
34437,2023-06,174,무창포신비의바닷길축제,무창포신비의바닷길축제,40,문화축제
34438,2023-06,579,문경사과축제,문경사과축제,950,문화축제
34439,2023-06,577,문경약돌한우축제,문경약돌한우축제,130,문화축제
34440,2023-06,578,문경오미자축제,문경오미자축제,1430,문화축제
34441,2023-06,576,문경찻사발축제,문경찻사발축제,710,문화축제
34442,2023-06,1054,민둥산억새꽃축제,민둥산억새꽃축제,240,문화축제
34443,2023-06,128,밀양아리랑대축제,밀양아리랑대축제,540,문화축제
34444,2023-06,432,바다로 세계로,바다로세계로,720,문화축제
34445,2023-06,496,반딧불축제,반딧불축제,17000,문화축제
34446,2023-06,1099,발복기원제,발복기원제,40,문화축제
34447,2023-06,856,방선문축제,방선문축제,14,문화축제
34448,2023-06,1033,배꼽축제,배꼽축제,300,문화축제
34449,2023-06,756,배내골사과축제,배내골사과축제,14,문화축제
34450,2023-06,38,백제문화제,백제문화제,3250,문화축제
34451,2023-06,522,벌교꼬막축제,벌교꼬막축제,240,문화축제
34452,2023-06,640,법성포단오제,법성포단오제,5760,문화축제
34453,2023-06,173,보령머드축제,보령머드축제,55400,문화축제
34454,2023-06,877,보목자리돔축제,보목자리돔축제,140,문화축제
34455,2023-06,519,보성다향대축제,보성다향대축제,390,문화축제
34456,2023-06,524,보성전어축제,보성전어축제,40,문화축제
34457,2023-06,521,보성차밭 빛축제,보성차밭빛축제,50,문화축제
34458,2023-06,1116,보은대추축제,보은대추축제,920,문화축제
34459,2023-06,1121,봉계한우불고기축제,봉계한우불고기축제,20,문화축제
34460,2023-06,732,봉화송이축제,봉화송이축제,380,문화축제
34461,2023-06,731,봉화은어축제,봉화은어축제,10940,문화축제
34462,2023-06,780,부산 차이나타운특구 문화축제,부산차이나타운특구문화축제,20,문화축제
34463,2023-06,1108,부산고등어축제,부산고등어축제,90,문화축제
34464,2023-06,743,부산국제록페스티벌,부산국제록페스티벌,830,문화축제
34465,2023-06,742,부산바다축제,부산바다축제,12420,문화축제
34466,2023-06,744,부산불꽃축제,부산불꽃축제,13420,문화축제
34467,2023-06,724,부산자갈치축제,부산자갈치축제,290,문화축제
34468,2023-06,747,부산항축제,부산항축제,4290,문화축제
34469,2023-06,525,부안마실축제,부안마실축제,700,문화축제
34470,2023-06,37,부여서동연꽃축제,부여서동연꽃축제,15560,문화축제
34471,2023-06,450,부천국제만화축제,부천국제만화축제,930,문화축제
34472,2023-06,906,부천국제애니메이션페스티벌,부천국제애니메이션페스티벌,370,문화축제
34473,2023-06,901,부천국제판타스틱영화제,부천국제판타스틱영화제,21920,문화축제
34474,2023-06,904,부천세계비보이대회,부천세계비보이대회,70,문화축제
34475,2023-06,641,불갑산상사화축제,불갑산상사화축제,70,문화축제
34476,2023-06,75,블랙뮤직페스티벌,블랙뮤직페스티벌,140,문화축제
34477,2023-06,108,사선문화제,사선문화제,70,문화축제
34478,2023-06,674,산지천 축제,산지천축제,110,문화축제
34479,2023-06,272,산청황매산철쭉제,산청황매산철쭉제,80,문화축제
34480,2023-06,110,산타축제,산타축제,14,문화축제
34481,2023-06,181,삼길포우럭축제,삼길포우럭축제,630,문화축제
34482,2023-06,393,삼척동해왕이사부독도축제,삼척동해왕이사부독도축제,18,문화축제
34483,2023-06,389,삼척맹방유채꽃축제,삼척맹방유채꽃축제,80,문화축제
34484,2023-06,391,삼척장미축제,삼척장미축제,4520,문화축제
34485,2023-06,390,삼척황영조국제마라톤대회,삼척황영조국제마라톤대회,80,문화축제
34486,2023-06,559,삽교호조개구이 축제,삽교호조개구이축제,150,문화축제
34487,2023-06,713,상화문학제,상화문학제,16,문화축제
34488,2023-06,596,생거진천 문화축제,생거진천문화축제,60,문화축제
34489,2023-06,888,서귀포 3분 관광영화제,서귀포3분관광영화제,50,문화축제
34490,2023-06,883,서귀포칠십리축제,서귀포칠십리축제,130,문화축제
34491,2023-06,388,서리풀페스티벌,서리풀페스티벌,230,문화축제
34492,2023-06,898,서면메디컬스트리트 축제,서면메디컬스트리트축제,12,문화축제
34493,2023-06,180,서산6쪽마늘축제,서산6쪽마늘축제,490,문화축제
34494,2023-06,185,서산국화축제,서산국화축제,190,문화축제
34495,2023-06,183,서산어리굴젓축제,서산어리굴젓축제,30,문화축제
34496,2023-06,184,서산해미읍성축제,서산해미읍성축제,850,문화축제
34497,2023-06,125,서울장미축제,서울장미축제,6220,문화축제
34498,2023-06,618,서창만드리풍년제,서창만드리풍년제,28,문화축제
34499,2023-06,520,서편제보성소리축제,서편제보성소리축제,60,문화축제
34500,2023-06,113,석촌호수벚꽃축제,석촌호수벚꽃축제,240,문화축제
34501,2023-06,677,선농대제,선농대제,30,문화축제
34502,2023-06,794,선사문화축제,선사문화축제,70,문화축제
34503,2023-06,854,설문대할망 페스티벌 2019,설문대할망페스티벌,24,문화축제
34504,2023-06,405,설봉산별빛축제,설봉산별빛축제,2390,문화축제
34505,2023-06,782,설성문화제,설성문화제,30,문화축제
34506,2023-06,1111,설화예술제,설화예술제,18,문화축제
34507,2023-06,157,섬 병어 축제,섬병어축제,110,문화축제
34508,2023-06,158,섬 수국 축제,섬수국축제,610,문화축제
34509,2023-06,106,섬진강다슬기축제,섬진강다슬기축제,30,문화축제
34510,2023-06,837,성산일출축제,성산일출축제,40,문화축제
34511,2023-06,678,세계거리춤축제,세계거리춤축제,110,문화축제
34512,2023-06,652,세종 조치원 복숭아  축제,세종조치원복숭아축제,390,문화축제
34513,2023-06,24,세종대왕과 초정약수 축제,세종대왕과초정약수축제,50,문화축제
34514,2023-06,651,세종축제,세종축제,3570,문화축제
34515,2023-06,752,소래포구축제,소래포구축제,1680,문화축제
34516,2023-06,1115,속리산 신(神) 축제,속리산신축제,10,문화축제
34517,2023-06,470,송호해변여름축제,송호해변여름축제,60,문화축제
34518,2023-06,882,쇠소깍축제,쇠소깍축제,50,문화축제
34519,2023-06,153,수선화축제,수선화축제,640,문화축제
34520,2023-06,716,수성 건강 축제,수성건강축제,40,문화축제
34521,2023-06,715,수성못 페스티벌,수성못페스티벌,1950,문화축제
34522,2023-06,451,수원화성문화제,수원화성문화제,2000,문화축제
34523,2023-06,438,순창장류축제,순창장류축제,550,문화축제
34524,2023-06,866,스테핑스톤페스티벌,스테핑스톤페스티벌,140,문화축제
34525,2023-06,452,시흥갯골축제,시흥갯골축제,1470,문화축제
34526,2023-06,151,신안튤립축제,신안튤립축제,1030,문화축제
34527,2023-06,1110,신정호 별빛축제,신정호별빛축제,20,문화축제
34528,2023-06,195,심훈상록문화제,심훈상록문화제,30,문화축제
34529,2023-06,175,아산성웅이순신축제,아산성웅이순신축제,90,문화축제
34530,2023-06,675,아트제주2019,아트제주,110,문화축제
34531,2023-06,531,안동국제탈춤축제,안동국제탈춤축제,30,문화축제
34532,2023-06,530,안동민속축제,안동민속축제,50,문화축제
34533,2023-06,815,안산 대부포도축제,안산대부포도축제,15,문화축제
34534,2023-06,804,안산국제거리극축제,안산국제거리극축제,320,문화축제
34535,2023-06,454,안성맞춤남사당바우덕이축제,안성맞춤남사당바우덕이축제,370,문화축제
34536,2023-06,659,야철제,야철제,190,문화축제
34537,2023-06,938,약령개장 357주년 2015「대구약령시 한방문화축제」,대구약령시한방문화축제,120,문화축제
34538,2023-06,1035,양록제,양록제,16,문화축제
34539,2023-06,759,양산삽량문화축전,양산삽량문화축전,40,문화축제
34540,2023-06,758,양산웅상회야제,양산웅상회야제,660,문화축제
34541,2023-06,410,양양문화제,양양문화제,7050,문화축제
34542,2023-06,408,양양송이축제,양양송이축제,540,문화축제
34543,2023-06,409,양양연어축제,양양연어축제,590,문화축제
34544,2023-06,188,양촌곶감축제,양촌곶감축제,29,문화축제
34545,2023-06,455,양평용문산산나물축제,양평용문산산나물축제,250,문화축제
34546,2023-06,1041,억새꽃 축제,억새꽃축제,20,문화축제
34547,2023-06,357,여수거북선축제,여수거북선축제,660,문화축제
34548,2023-06,362,여수동동북축제,여수동동북축제,17,문화축제
34549,2023-06,364,여수마칭페스티벌,여수마칭페스티벌,20,문화축제
34550,2023-06,360,여수밤바다 불꽃축제,여수밤바다불꽃축제,1250,문화축제
34551,2023-06,456,여주오곡나루축제,여주오곡나루축제,320,문화축제
34552,2023-06,537,연산대추축제,연산대추축제,30,문화축제
34553,2023-06,538,연산백중놀이,연산백중놀이,30,문화축제
34554,2023-06,1076,연안부두 축제,연안부두축제,49,문화축제
34555,2023-06,457,연천구석기축제,연천구석기축제,1160,문화축제
34556,2023-06,229,영덕대게축제,영덕대게축제,780,문화축제
34557,2023-06,231,영덕물가자미축제,영덕물가자미축제,250,문화축제
34558,2023-06,230,영덕황금은어축제,영덕황금은어축제,210,문화축제
34559,2023-06,491,영암왕인문화축제,영암왕인문화축제,100,문화축제
34560,2023-06,482,영월동강뗏목축제,영월동강뗏목축제,90,문화축제
34561,2023-06,340,영천문화예술제,영천문화예술제,19,문화축제
34562,2023-06,341,영천보현산별빛축제,영천보현산별빛축제,140,문화축제
34563,2023-06,339,영천한약축제,영천한약축제,390,문화축제
34564,2023-06,879,예래생태체험축제,예래생태체험축제,14,문화축제
34565,2023-06,1013,예산장터삼국축제,예산장터삼국축제,70,문화축제
34566,2023-06,1086,오대산문화축전,오대산문화축전,16,문화축제
34567,2023-06,458,오산독산성문화제,오산독산성문화제,70,문화축제
34568,2023-06,41,오징어축제,오징어축제,1220,문화축제
34569,2023-06,1080,옥천깻잎축제,옥천깻잎축제,11,문화축제
34570,2023-06,717,와룡문화제,와룡문화제,50,문화축제
34571,2023-06,549,완주와일드푸드축제,완주와일드푸드축제,160,문화축제
34572,2023-06,126,용마폭포 문화예술축제,용마폭포문화예술축제,50,문화축제
34574,2023-06,1118,우시산국축제,우시산국축제,15,문화축제
34575,2023-06,986,우장산 신록축제,우장산신록축제,14,문화축제
34576,2023-06,40,울릉해변가요제,울릉해변가요제,15,문화축제
34577,2023-06,51,울산고래축제,울산고래축제,3080,문화축제
34578,2023-06,50,울산대공원 장미축제,울산대공원장미축제,7890,문화축제
34579,2023-06,1021,울산쇠부리축제,울산쇠부리축제,490,문화축제
34580,2023-06,1117,울산옹기축제,울산옹기축제,480,문화축제
34581,2023-06,613,울산조선해양축제,울산조선해양축제,4860,문화축제
34582,2023-06,1119,울주세계산악영화제,울주세계산악영화제,300,문화축제
34583,2023-06,1049,울진대게와 붉은대게 축제,울진대게와붉은대게축제,20,문화축제
34584,2023-06,278,웅진성수문병 근무교대식,웅진성수문병근무교대식,10,문화축제
34585,2023-06,757,원동매화축제,원동매화축제,70,문화축제
34586,2023-06,1026,원주 다이내믹 댄싱카니발,원주다이내믹댄싱카니발,750,문화축제
34587,2023-06,1025,원주 용수골 꽃 양귀비축제,원주용수골꽃양귀비축제,9550,문화축제
34588,2023-06,1027,원주 한지문화제,원주한지문화제,270,문화축제
34589,2023-06,213,윤봉길평화축제,윤봉길평화축제,80,문화축제
34590,2023-06,1128,은평누리축제,은평누리축제,20,문화축제
