SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
29057,"2022-09","701","대구포크페스티벌","대구포크페스티벌",10260,"문화축제"
29058,"2022-09","426","대금산진달래축제","대금산진달래축제",15,"문화축제"
29059,"2022-09","662","대청호뮤직패스티벌","대청호뮤직패스티벌",23,"문화축제"
29060,"2022-09","884","덕수리 전통민속축제","덕수리전통민속축제",28,"문화축제"
29061,"2022-09","15","도봉구 등축제","도봉구등축제",90,"문화축제"
29062,"2022-09","13","도봉구민 건강축제","도봉구민건강축제",14,"문화축제"
29063,"2022-09","1032","도솔산지구전투 전승행사","도솔산지구전투전승행사",14,"문화축제"
29064,"2022-09","1015","독일마을 맥주축제","독일마을맥주축제",6190,"문화축제"
29065,"2022-09","481","동강국제사진제","동강국제사진제",1800,"문화축제"
29066,"2022-09","636","동두천 청소년 별자리과학 축제","동두천청소년별자리과학축제",90,"문화축제"
29067,"2022-09","768","동래읍성역사축제","동래읍성역사축제",3500,"문화축제"
29068,"2022-09","911","동성로축제","동성로축제",940,"문화축제"
29069,"2022-09","663","동춘당문화제","동춘당문화제",680,"문화축제"
29070,"2022-09","907","동해무릉제","동해무릉제",26670,"문화축제"
29071,"2022-09","686","들노래축제","들노래축제",14,"문화축제"
29072,"2022-09","178","류방택 별 축제","류방택별축제",120,"문화축제"
29073,"2022-09","656","마산가고파국화축제","마산가고파국화축제",410,"문화축제"
29074,"2022-09","660","마산만날제","마산만날제",2030,"문화축제"
29075,"2022-09","478","마토예술제","마토예술제",130,"문화축제"
29076,"2022-09","629","명량대첩축제","명량대첩축제",9920,"문화축제"
29077,"2022-09","82","목도백중놀이","목도백중놀이",200,"문화축제"
29078,"2022-09","892","목포항구축제","목포항구축제",5470,"문화축제"
29079,"2022-09","327","무장읍성축제","무장읍성축제",200,"문화축제"
29080,"2022-09","174","무창포신비의바닷길축제","무창포신비의바닷길축제",170,"문화축제"
29081,"2022-09","579","문경사과축제","문경사과축제",28920,"문화축제"
29082,"2022-09","577","문경약돌한우축제","문경약돌한우축제",400,"문화축제"
29083,"2022-09","578","문경오미자축제","문경오미자축제",56710,"문화축제"
29084,"2022-09","576","문경찻사발축제","문경찻사발축제",840,"문화축제"
29085,"2022-09","1054","민둥산억새꽃축제","민둥산억새꽃축제",2290,"문화축제"
29086,"2022-09","128","밀양아리랑대축제","밀양아리랑대축제",40360,"문화축제"
29087,"2022-09","432","바다로 세계로","바다로세계로",140,"문화축제"
29088,"2022-09","496","반딧불축제","반딧불축제",2250,"문화축제"
29089,"2022-09","1033","배꼽축제","배꼽축제",1200,"문화축제"
29090,"2022-09","756","배내골사과축제","배내골사과축제",90,"문화축제"
29091,"2022-09","80","백마권역겨울놀이축제","백마권역겨울놀이축제",21,"문화축제"
29092,"2022-09","26","백양단풍축제","백양단풍축제",20,"문화축제"
29093,"2022-09","277","백제 어울마당","백제어울마당",20,"문화축제"
29094,"2022-09","38","백제문화제","백제문화제",106600,"문화축제"
29095,"2022-09","522","벌교꼬막축제","벌교꼬막축제",1540,"문화축제"
29096,"2022-09","640","법성포단오제","법성포단오제",60,"문화축제"
29097,"2022-09","173","보령머드축제","보령머드축제",11400,"문화축제"
29098,"2022-09","519","보성다향대축제","보성다향대축제",80,"문화축제"
29099,"2022-09","524","보성전어축제","보성전어축제",710,"문화축제"
29100,"2022-09","521","보성차밭 빛축제","보성차밭빛축제",180,"문화축제"
29101,"2022-09","722","보수동책방골목문화축제","보수동책방골목문화축제",15,"문화축제"
29102,"2022-09","1116","보은대추축제","보은대추축제",46400,"문화축제"
29103,"2022-09","1121","봉계한우불고기축제","봉계한우불고기축제",15,"문화축제"
29104,"2022-09","914","봉산미술제","봉산미술제",60,"문화축제"
29105,"2022-09","732","봉화송이축제","봉화송이축제",31120,"문화축제"
29106,"2022-09","731","봉화은어축제","봉화은어축제",1550,"문화축제"
29107,"2022-09","780","부산 차이나타운특구 문화축제","부산차이나타운특구문화축제",280,"문화축제"
29108,"2022-09","1108","부산고등어축제","부산고등어축제",1260,"문화축제"
29109,"2022-09","743","부산국제록페스티벌","부산국제록페스티벌",10840,"문화축제"
29110,"2022-09","723","부산국제영화제 전야제","부산국제영화제전야제",140,"문화축제"
29111,"2022-09","742","부산바다축제","부산바다축제",730,"문화축제"
29112,"2022-09","744","부산불꽃축제","부산불꽃축제",98300,"문화축제"
29113,"2022-09","724","부산자갈치축제","부산자갈치축제",2040,"문화축제"
29114,"2022-09","726","부산크리스마스트리문화축제","부산크리스마스트리문화축제",30,"문화축제"
29115,"2022-09","745","부산크리스마스트리축제","부산크리스마스트리축제",60,"문화축제"
29116,"2022-09","747","부산항축제","부산항축제",1210,"문화축제"
29117,"2022-09","525","부안마실축제","부안마실축제",310,"문화축제"
29118,"2022-09","37","부여서동연꽃축제","부여서동연꽃축제",630,"문화축제"
29119,"2022-09","450","부천국제만화축제","부천국제만화축제",17920,"문화축제"
29120,"2022-09","906","부천국제애니메이션페스티벌","부천국제애니메이션페스티벌",2070,"문화축제"
29121,"2022-09","901","부천국제판타스틱영화제","부천국제판타스틱영화제",1500,"문화축제"
29122,"2022-09","904","부천세계비보이대회","부천세계비보이대회",1210,"문화축제"
29123,"2022-09","905","부천전국대학가요제","부천전국대학가요제",14,"문화축제"
29124,"2022-09","142","분당구민 한마음 축제","분당구민한마음축제",12,"문화축제"
29125,"2022-09","641","불갑산상사화축제","불갑산상사화축제",3260,"문화축제"
29126,"2022-09","161","불볼락 축제","불볼락축제",130,"문화축제"
29127,"2022-09","75","블랙뮤직페스티벌","블랙뮤직페스티벌",270,"문화축제"
29128,"2022-09","108","사선문화제","사선문화제",2090,"문화축제"
29129,"2022-09","674","산지천 축제","산지천축제",2740,"문화축제"
29130,"2022-09","110","산타축제","산타축제",30,"문화축제"
29131,"2022-09","181","삼길포우럭축제","삼길포우럭축제",210,"문화축제"
29132,"2022-09","389","삼척맹방유채꽃축제","삼척맹방유채꽃축제",23,"문화축제"
29133,"2022-09","391","삼척장미축제","삼척장미축제",150,"문화축제"
29134,"2022-09","390","삼척황영조국제마라톤대회","삼척황영조국제마라톤대회",68,"문화축제"
29135,"2022-09","559","삽교호조개구이 축제","삽교호조개구이축제",400,"문화축제"
29136,"2022-09","8","상주 이야기축제","상주이야기축제",280,"문화축제"
29137,"2022-09","634","상패남산축제","상패남산축제",39,"문화축제"
29138,"2022-09","713","상화문학제","상화문학제",13,"문화축제"
29139,"2022-09","596","생거진천 문화축제","생거진천문화축제",4250,"문화축제"
29140,"2022-09","888","서귀포 3분 관광영화제","서귀포3분관광영화제",17,"문화축제"
29141,"2022-09","838","서귀포겨울바다 국제펭귄수영대회","서귀포겨울바다국제펭귄수영대회",13,"문화축제"
29142,"2022-09","883","서귀포칠십리축제","서귀포칠십리축제",1200,"문화축제"
29143,"2022-09","238","서대문독립민주축제","서대문독립민주축제",30,"문화축제"
29144,"2022-09","388","서리풀페스티벌","서리풀페스티벌",2330,"문화축제"
29145,"2022-09","898","서면메디컬스트리트 축제","서면메디컬스트리트축제",20,"문화축제"
29146,"2022-09","185","서산국화축제","서산국화축제",3110,"문화축제"
29147,"2022-09","649","서산시국화축제","서산시국화축제",40,"문화축제"
29148,"2022-09","183","서산어리굴젓축제","서산어리굴젓축제",20,"문화축제"
29149,"2022-09","648","서산해미읍성역사체험축제","서산해미읍성역사체험축제",14,"문화축제"
29150,"2022-09","184","서산해미읍성축제","서산해미읍성축제",15080,"문화축제"
29151,"2022-09","676","서울약령시 한방문화축제","서울약령시한방문화축제",15,"문화축제"
29152,"2022-09","125","서울장미축제","서울장미축제",760,"문화축제"
29153,"2022-09","520","서편제보성소리축제","서편제보성소리축제",670,"문화축제"
29154,"2022-09","113","석촌호수벚꽃축제","석촌호수벚꽃축제",180,"문화축제"
29155,"2022-09","677","선농대제","선농대제",13,"문화축제"
29156,"2022-09","794","선사문화축제","선사문화축제",1660,"문화축제"
29157,"2022-09","405","설봉산별빛축제","설봉산별빛축제",70,"문화축제"
29158,"2022-09","782","설성문화제","설성문화제",160,"문화축제"
29159,"2022-09","1111","설화예술제","설화예술제",230,"문화축제"
29160,"2022-09","1024","섬강축제","섬강축제",50,"문화축제"
29161,"2022-09","1052","성류문화제","성류문화제",160,"문화축제"
29162,"2022-09","837","성산일출축제","성산일출축제",60,"문화축제"
29163,"2022-09","678","세계거리춤축제","세계거리춤축제",3510,"문화축제"
29164,"2022-09","624","세계청년축제","세계청년축제",20,"문화축제"
29165,"2022-09","652","세종 조치원 복숭아  축제","세종조치원복숭아축제",100,"문화축제"
29166,"2022-09","24","세종대왕과 초정약수 축제","세종대왕과초정약수축제",2980,"문화축제"
29167,"2022-09","651","세종축제","세종축제",21720,"문화축제"
29168,"2022-09","752","소래포구축제","소래포구축제",79300,"문화축제"
29169,"2022-09","1141","소양강문화제","소양강문화제",1010,"문화축제"
29170,"2022-09","882","쇠소깍축제","쇠소깍축제",40,"문화축제"
29171,"2022-09","153","수선화축제","수선화축제",140,"문화축제"
29172,"2022-09","716","수성 건강 축제","수성건강축제",19,"문화축제"
29173,"2022-09","715","수성못 페스티벌","수성못페스티벌",50060,"문화축제"
29174,"2022-09","451","수원화성문화제","수원화성문화제",19020,"문화축제"
29175,"2022-09","438","순창장류축제","순창장류축제",6930,"문화축제"
29176,"2022-09","866","스테핑스톤페스티벌","스테핑스톤페스티벌",38,"문화축제"
29177,"2022-09","1036","시래기축제","시래기축제",48,"문화축제"
29178,"2022-09","452","시흥갯골축제","시흥갯골축제",76310,"문화축제"
29179,"2022-09","151","신안튤립축제","신안튤립축제",610,"문화축제"
29180,"2022-09","1110","신정호 별빛축제","신정호별빛축제",140,"문화축제"
29181,"2022-09","195","심훈상록문화제","심훈상록문화제",760,"문화축제"
29182,"2022-09","175","아산성웅이순신축제","아산성웅이순신축제",190,"문화축제"
29183,"2022-09","675","아트제주2019","아트제주",180,"문화축제"
29184,"2022-09","531","안동국제탈춤축제","안동국제탈춤축제",180,"문화축제"
29185,"2022-09","530","안동민속축제","안동민속축제",480,"문화축제"
29186,"2022-09","815","안산 대부포도축제","안산대부포도축제",36,"문화축제"
29187,"2022-09","804","안산국제거리극축제","안산국제거리극축제",320,"문화축제"
29188,"2022-09","816","안산사이언스밸리(ASV) 과학축제","안산사이언스밸리과학축제",210,"문화축제"
29189,"2022-09","453","안산시국제거리극축제","안산시국제거리극축제",15,"문화축제"
29190,"2022-09","454","안성맞춤남사당바우덕이축제","안성맞춤남사당바우덕이축제",11850,"문화축제"
29191,"2022-09","938","약령개장 357주년 2015「대구약령시 한방문화축제」","대구약령시한방문화축제",2850,"문화축제"
29192,"2022-09","1035","양록제","양록제",810,"문화축제"
29193,"2022-09","759","양산삽량문화축전","양산삽량문화축전",40680,"문화축제"
29194,"2022-09","758","양산웅상회야제","양산웅상회야제",50,"문화축제"
29195,"2022-09","410","양양문화제","양양문화제",30,"문화축제"
29196,"2022-09","408","양양송이축제","양양송이축제",43760,"문화축제"
29197,"2022-09","409","양양연어축제","양양연어축제",3730,"문화축제"
29198,"2022-09","428","양지암축제","양지암축제",570,"문화축제"
29199,"2022-09","188","양촌곶감축제","양촌곶감축제",110,"문화축제"
29200,"2022-09","455","양평용문산산나물축제","양평용문산산나물축제",110,"문화축제"
29201,"2022-09","1041","억새꽃 축제","억새꽃축제",310,"문화축제"
29202,"2022-09","800","여르미오페스티벌","여르미오페스티벌",90,"문화축제"
29203,"2022-09","357","여수거북선축제","여수거북선축제",45890,"문화축제"
29204,"2022-09","362","여수동동북축제","여수동동북축제",110,"문화축제"
29205,"2022-09","364","여수마칭페스티벌","여수마칭페스티벌",920,"문화축제"
29206,"2022-09","360","여수밤바다 불꽃축제","여수밤바다불꽃축제",1180,"문화축제"
29207,"2022-09","358","여수여자만갯벌노을체험행사","여수여자만갯벌노을체험행사",16,"문화축제"
29208,"2022-09","456","여주오곡나루축제","여주오곡나루축제",5560,"문화축제"
29209,"2022-09","537","연산대추축제","연산대추축제",1110,"문화축제"
29210,"2022-09","538","연산백중놀이","연산백중놀이",30,"문화축제"
29211,"2022-09","1076","연안부두 축제","연안부두축제",450,"문화축제"
29212,"2022-09","457","연천구석기축제","연천구석기축제",10210,"문화축제"
29213,"2022-09","229","영덕대게축제","영덕대게축제",2200,"문화축제"
29214,"2022-09","231","영덕물가자미축제","영덕물가자미축제",20,"문화축제"
