LCLAS_NM,MLSFC_NM,SIGNGU_NM,AREA_POPLTN_STDIZ_FCLTY_SCORE
문화예술,공연시설,경상남도 통영시,19.57449
문화예술,공연시설,경상남도 사천시,7.67521
문화예술,공연시설,경상남도 김해시,9.5084
문화예술,공연시설,경상남도 밀양시,21.42267
문화예술,공연시설,경상남도 거제시,10.51765
문화예술,공연시설,경상남도 양산시,3.81193
문화예술,공연시설,경상남도 의령군,28.3427
문화예술,공연시설,경상남도 함안군,36.17304
문화예술,공연시설,경상남도 창녕군,48.61577
문화예술,공연시설,경상남도 고성군,57.67004
문화예술,공연시설,경상남도 남해군,83.17649
문화예술,공연시설,경상남도 하동군,50.93583
문화예술,공연시설,경상남도 산청군,91.71326
문화예술,공연시설,경상남도 함양군,44.76246
문화예술,공연시설,경상남도 거창군,34.56352
문화예술,공연시설,경상남도 합천군,57.79899
문화예술,공연시설,제주특별자치도 제주시,24.43969
문화예술,공연시설,제주특별자치도 서귀포시,47.89781
문화예술,전시시설,서울특별시 종로구,79.55973
문화예술,전시시설,서울특별시 중구,65.81374
문화예술,전시시설,서울특별시 용산구,26.34186
문화예술,전시시설,서울특별시 성동구,16.82453
문화예술,전시시설,서울특별시 광진구,17.01459
문화예술,전시시설,서울특별시 동대문구,22.20635
문화예술,전시시설,서울특별시 중랑구,14.26281
문화예술,전시시설,서울특별시 성북구,21.24367
문화예술,전시시설,서울특별시 강북구,18.40766
문화예술,전시시설,서울특별시 도봉구,19.6263
문화예술,전시시설,서울특별시 노원구,21.59002
문화예술,전시시설,서울특별시 은평구,20.85671
문화예술,전시시설,서울특별시 서대문구,22.56854
문화예술,전시시설,서울특별시 마포구,18.66943
문화예술,전시시설,서울특별시 양천구,16.81632
문화예술,전시시설,서울특별시 강서구,18.96107
문화예술,전시시설,서울특별시 구로구,22.66146
문화예술,전시시설,서울특별시 금천구,17.53642
문화예술,전시시설,서울특별시 영등포구,23.82107
문화예술,전시시설,서울특별시 동작구,24.51884
문화예술,전시시설,서울특별시 관악구,21.29311
문화예술,전시시설,서울특별시 서초구,26.97229
문화예술,전시시설,서울특별시 강남구,28.34696
문화예술,전시시설,서울특별시 송파구,20.52873
문화예술,전시시설,서울특별시 강동구,18.84878
문화예술,전시시설,부산광역시 중구,35.27029
문화예술,전시시설,부산광역시 서구,28.29244
문화예술,전시시설,부산광역시 동구,23.04098
문화예술,전시시설,부산광역시 영도구,33.09411
문화예술,전시시설,부산광역시 부산진구,22.39781
문화예술,전시시설,부산광역시 동래구,29.64397
문화예술,전시시설,부산광역시 남구,29.06138
문화예술,전시시설,부산광역시 북구,20.97378
문화예술,전시시설,부산광역시 해운대구,24.02147
문화예술,전시시설,부산광역시 사하구,19.55181
문화예술,전시시설,부산광역시 금정구,31.89524
문화예술,전시시설,부산광역시 강서구,25.8028
문화예술,전시시설,부산광역시 연제구,18.92816
문화예술,전시시설,부산광역시 수영구,14.80685
문화예술,전시시설,부산광역시 사상구,20.25445
문화예술,전시시설,부산광역시 기장군,36.81646
문화예술,전시시설,대구광역시 중구,47.78163
문화예술,전시시설,대구광역시 동구,21.75804
문화예술,전시시설,대구광역시 서구,18.9741
문화예술,전시시설,대구광역시 남구,16.90054
문화예술,전시시설,대구광역시 북구,22.65538
문화예술,전시시설,대구광역시 수성구,25.37468
문화예술,전시시설,대구광역시 달서구,25.644
문화예술,전시시설,대구광역시 달성군,22.61618
문화예술,전시시설,인천광역시 중구,31.43519
문화예술,전시시설,인천광역시 동구,26.26841
문화예술,전시시설,인천광역시 미추홀구,12.17924
문화예술,전시시설,인천광역시 연수구,21.05135
문화예술,전시시설,인천광역시 남동구,19.13042
문화예술,전시시설,인천광역시 부평구,18.18802
문화예술,전시시설,인천광역시 계양구,26.24768
문화예술,전시시설,인천광역시 서구,18.5708
문화예술,전시시설,인천광역시 강화군,3.34646
문화예술,전시시설,인천광역시 옹진군,26.99804
문화예술,전시시설,광주광역시 동구,61.37116
문화예술,전시시설,광주광역시 서구,34.11681
문화예술,전시시설,광주광역시 남구,50.76764
문화예술,전시시설,광주광역시 북구,45.88766
문화예술,전시시설,광주광역시 광산구,36.94937
문화예술,전시시설,대전광역시 동구,25.54734
문화예술,전시시설,대전광역시 중구,36.69211
문화예술,전시시설,대전광역시 서구,25.2047
문화예술,전시시설,대전광역시 유성구,41.81181
문화예술,전시시설,대전광역시 대덕구,37.0886
문화예술,전시시설,울산광역시 중구,24.68081
문화예술,전시시설,울산광역시 남구,29.06925
문화예술,전시시설,울산광역시 동구,30.37272
문화예술,전시시설,울산광역시 북구,25.07333
문화예술,전시시설,울산광역시 울주군,40.28347
문화예술,전시시설,세종특별자치시 세종특별자치시,31.31002
문화예술,전시시설,경기도 수원시,24.97807
문화예술,전시시설,경기도 성남시,23.35771
문화예술,전시시설,경기도 의정부시,20.58784
문화예술,전시시설,경기도 안양시,22.45983
문화예술,전시시설,경기도 부천시,21.19153
문화예술,전시시설,경기도 광명시,22.74753
문화예술,전시시설,경기도 평택시,19.86339
문화예술,전시시설,경기도 동두천시,21.39683
문화예술,전시시설,경기도 안산시,20.38995
문화예술,전시시설,경기도 고양시,19.84797
문화예술,전시시설,경기도 과천시,17.34123
문화예술,전시시설,경기도 구리시,16.16617
문화예술,전시시설,경기도 남양주시,21.11397
문화예술,전시시설,경기도 오산시,23.53457
문화예술,전시시설,경기도 시흥시,23.91875
문화예술,전시시설,경기도 군포시,23.84101
문화예술,전시시설,경기도 의왕시,25.82004
문화예술,전시시설,경기도 하남시,16.35063
문화예술,전시시설,경기도 용인시,24.19837
문화예술,전시시설,경기도 파주시,0
문화예술,전시시설,경기도 이천시,28.53601
문화예술,전시시설,경기도 안성시,32.26874
문화예술,전시시설,경기도 김포시,12.29295
문화예술,전시시설,경기도 화성시,27.91986
문화예술,전시시설,경기도 광주시,11.99189
문화예술,전시시설,경기도 양주시,25.83387
문화예술,전시시설,경기도 포천시,34.46372
문화예술,전시시설,경기도 여주시,38.68084
문화예술,전시시설,경기도 연천군,8.23835
문화예술,전시시설,경기도 가평군,37.96169
문화예술,전시시설,경기도 양평군,41.50921
문화예술,전시시설,강원도 춘천시,31.32534
문화예술,전시시설,강원도 원주시,34.0852
문화예술,전시시설,강원도 강릉시,40.89234
문화예술,전시시설,강원도 동해시,45.26869
문화예술,전시시설,강원도 태백시,56.60319
문화예술,전시시설,강원도 속초시,34.37389
문화예술,전시시설,강원도 삼척시,65.3929
문화예술,전시시설,강원도 홍천군,54.49967
문화예술,전시시설,강원도 횡성군,75.20823
문화예술,전시시설,강원도 영월군,100
문화예술,전시시설,강원도 평창군,76.13744
문화예술,전시시설,강원도 정선군,100
문화예술,전시시설,강원도 철원군,1.62146
문화예술,전시시설,강원도 화천군,61.47045
문화예술,전시시설,강원도 양구군,61.37901
문화예술,전시시설,강원도 인제군,98.69398
문화예술,전시시설,강원도 고성군,39.09387
문화예술,전시시설,강원도 양양군,72.88165
문화예술,전시시설,충청북도 청주시,30.64996
문화예술,전시시설,충청북도 충주시,40.6031
문화예술,전시시설,충청북도 제천시,40.96987
문화예술,전시시설,충청북도 보은군,81.41225
문화예술,전시시설,충청북도 옥천군,50.71514
문화예술,전시시설,충청북도 영동군,64.22479
문화예술,전시시설,충청북도 증평군,41.70847
문화예술,전시시설,충청북도 진천군,35.9985
문화예술,전시시설,충청북도 괴산군,81.18581
문화예술,전시시설,충청북도 음성군,55.81096
문화예술,전시시설,충청북도 단양군,53.23251
문화예술,전시시설,충청남도 천안시,25.73528
문화예술,전시시설,충청남도 공주시,59.53509
문화예술,전시시설,충청남도 보령시,62.50638
문화예술,전시시설,충청남도 아산시,35.82943
문화예술,전시시설,충청남도 서산시,41.6715
문화예술,전시시설,충청남도 논산시,53.02434
문화예술,전시시설,충청남도 계룡시,24.5462
문화예술,전시시설,충청남도 당진시,34.14248
문화예술,전시시설,충청남도 금산군,63.87223
문화예술,전시시설,충청남도 부여군,75.55411
문화예술,전시시설,충청남도 서천군,77.89922
문화예술,전시시설,충청남도 청양군,71.15346
문화예술,전시시설,충청남도 홍성군,44.22829
문화예술,전시시설,충청남도 예산군,59.59196
문화예술,전시시설,충청남도 태안군,45.32105
문화예술,전시시설,전라북도 전주시,39.30979
문화예술,전시시설,전라북도 군산시,42.72606
문화예술,전시시설,전라북도 익산시,42.47302
문화예술,전시시설,전라북도 정읍시,67.17348
문화예술,전시시설,전라북도 남원시,73.31495
문화예술,전시시설,전라북도 김제시,61.38239
문화예술,전시시설,전라북도 완주군,57.81096
문화예술,전시시설,전라북도 진안군,100
문화예술,전시시설,전라북도 무주군,78.84989
문화예술,전시시설,전라북도 장수군,90.71156
문화예술,전시시설,전라북도 임실군,97.83077
문화예술,전시시설,전라북도 순창군,99.56386
문화예술,전시시설,전라북도 고창군,67.45878
문화예술,전시시설,전라북도 부안군,77.68003
문화예술,전시시설,전라남도 목포시,45.73568
문화예술,전시시설,전라남도 여수시,39.51273
문화예술,전시시설,전라남도 순천시,50.27339
문화예술,전시시설,전라남도 나주시,48.08963
문화예술,전시시설,전라남도 광양시,38.9001
문화예술,전시시설,전라남도 담양군,61.42162
문화예술,전시시설,전라남도 곡성군,67.57807
문화예술,전시시설,전라남도 구례군,69.19834
문화예술,전시시설,전라남도 고흥군,54.92622
문화예술,전시시설,전라남도 보성군,74.35936
문화예술,전시시설,전라남도 화순군,59.24514
