LCLAS_NM,MLSFC_NM,SIGNGU_NM,AREA_ARBY_STDIZ_FCLTY_SCORE
문화예술,공연시설,경상남도 김해시,1.69028
문화예술,공연시설,경상남도 밀양시,0.40611
문화예술,공연시설,경상남도 거제시,0.91602
문화예술,공연시설,경상남도 양산시,0.44757
문화예술,공연시설,경상남도 의령군,0.21875
문화예술,공연시설,경상남도 함안군,0.789
문화예술,공연시설,경상남도 창녕군,0.78499
문화예술,공연시설,경상남도 고성군,0.64005
문화예술,공연시설,경상남도 남해군,0.87822
문화예술,공연시설,경상남도 하동군,0.46336
문화예술,공연시설,경상남도 산청군,0.5738
문화예술,공연시설,경상남도 함양군,0.33721
문화예술,공연시설,경상남도 거창군,0.3783
문화예술,공연시설,경상남도 합천군,0.35865
문화예술,공연시설,제주특별자치도 제주시,1.63825
문화예술,공연시설,제주특별자치도 서귀포시,1.38577
문화예술,전시시설,서울특별시 종로구,85.26756
문화예술,전시시설,서울특별시 중구,100
문화예술,전시시설,서울특별시 용산구,55.20623
문화예술,전시시설,서울특별시 성동구,65.64311
문화예술,전시시설,서울특별시 광진구,78.21478
문화예술,전시시설,서울특별시 동대문구,100
문화예술,전시시설,서울특별시 중랑구,72.68987
문화예술,전시시설,서울특별시 성북구,81.60235
문화예술,전시시설,서울특별시 강북구,52.05999
문화예술,전시시설,서울특별시 도봉구,65.74623
문화예술,전시시설,서울특별시 노원구,66.96483
문화예술,전시시설,서울특별시 은평구,72.11851
문화예술,전시시설,서울특별시 서대문구,84.71227
문화예술,전시시설,서울특별시 마포구,64.65823
문화예술,전시시설,서울특별시 양천구,99.06812
문화예술,전시시설,서울특별시 강서구,58.80181
문화예술,전시시설,서울특별시 구로구,96.32943
문화예술,전시시설,서울특별시 금천구,71.39093
문화예술,전시시설,서울특별시 영등포구,78.67841
문화예술,전시시설,서울특별시 동작구,100
문화예술,전시시설,서울특별시 관악구,76.99267
문화예술,전시시설,서울특별시 서초구,48.5084
문화예술,전시시설,서울특별시 강남구,78.50552
문화예술,전시시설,서울특별시 송파구,88.50425
문화예술,전시시설,서울특별시 강동구,79.92596
문화예술,전시시설,부산광역시 중구,62.38256
문화예술,전시시설,부산광역시 서구,20.91421
문화예술,전시시설,부산광역시 동구,37.02935
문화예술,전시시설,부산광역시 영도구,12.76499
문화예술,전시시설,부산광역시 부산진구,58.31098
문화예술,전시시설,부산광역시 동래구,99.47517
문화예술,전시시설,부산광역시 남구,36.02808
문화예술,전시시설,부산광역시 북구,32.65132
문화예술,전시시설,부산광역시 해운대구,36.02862
문화예술,전시시설,부산광역시 사하구,15.42511
문화예술,전시시설,부산광역시 금정구,21.86824
문화예술,전시시설,부산광역시 강서구,2.77668
문화예술,전시시설,부산광역시 연제구,72.01032
문화예술,전시시설,부산광역시 수영구,44.49347
문화예술,전시시설,부산광역시 사상구,25.36556
문화예술,전시시설,부산광역시 기장군,5.81004
문화예술,전시시설,대구광역시 중구,100
문화예술,전시시설,대구광역시 동구,8.80422
문화예술,전시시설,대구광역시 서구,39.52929
문화예술,전시시설,대구광역시 남구,31.94018
문화예술,전시시설,대구광역시 북구,22.44169
문화예술,전시시설,대구광역시 수성구,28.78878
문화예술,전시시설,대구광역시 달서구,46.53646
문화예술,전시시설,대구광역시 달성군,2.95704
문화예술,전시시설,인천광역시 중구,6.84606
문화예술,전시시설,인천광역시 동구,42.77921
문화예술,전시시설,인천광역시 미추홀구,51.40435
문화예술,전시시설,인천광역시 연수구,24.35398
문화예술,전시시설,인천광역시 남동구,31.76089
문화예술,전시시설,인천광역시 부평구,63.50885
문화예술,전시시설,인천광역시 계양구,34.893
문화예술,전시시설,인천광역시 서구,18.84925
문화예술,전시시설,인천광역시 강화군,0.21771
문화예술,전시시설,인천광역시 옹진군,0.61434
문화예술,전시시설,광주광역시 동구,24.44672
문화예술,전시시설,광주광역시 서구,41.06632
문화예술,전시시설,광주광역시 남구,33.47528
문화예술,전시시설,광주광역시 북구,31.05282
문화예술,전시시설,광주광역시 광산구,13.08196
문화예술,전시시설,대전광역시 동구,8.66912
문화예술,전시시설,대전광역시 중구,26.89878
문화예술,전시시설,대전광역시 서구,26.10065
문화예술,전시시설,대전광역시 유성구,16.21189
문화예술,전시시설,대전광역시 대덕구,18.2929
문화예술,전시시설,울산광역시 중구,29.41252
문화예술,전시시설,울산광역시 남구,25.5021
문화예술,전시시설,울산광역시 동구,25.83332
문화예술,전시시설,울산광역시 북구,7.27844
문화예술,전시시설,울산광역시 울주군,2.0019
문화예술,전시시설,세종특별자치시 세종특별자치시,5.17843
문화예술,전시시설,경기도 수원시,7.43517
문화예술,전시시설,경기도 성남시,17.34204
문화예술,전시시설,경기도 의정부시,58.93618
문화예술,전시시설,경기도 안양시,69.35894
문화예술,전시시설,경기도 부천시,8.48357
문화예술,전시시설,경기도 광명시,42.52748
문화예술,전시시설,경기도 평택시,70.38596
문화예술,전시시설,경기도 동두천시,1.48951
문화예술,전시시설,경기도 안산시,6.27213
문화예술,전시시설,경기도 고양시,49.86142
문화예술,전시시설,경기도 과천시,5.80595
문화예술,전시시설,경기도 구리시,5.01589
문화예술,전시시설,경기도 남양주시,28.23965
문화예술,전시시설,경기도 오산시,8.54065
문화예술,전시시설,경기도 시흥시,11.05998
문화예술,전시시설,경기도 군포시,2.39178
문화예술,전시시설,경기도 의왕시,14.84099
문화예술,전시시설,경기도 하남시,3.98079
문화예술,전시시설,경기도 용인시,6.2696
문화예술,전시시설,경기도 파주시,0.83359
문화예술,전시시설,경기도 이천시,1.82381
문화예술,전시시설,경기도 안성시,28.74948
문화예술,전시시설,경기도 김포시,2.52233
문화예술,전시시설,경기도 화성시,97.66938
문화예술,전시시설,경기도 광주시,14.89099
문화예술,전시시설,경기도 양주시,2.80387
문화예술,전시시설,경기도 포천시,1.42127
문화예술,전시시설,경기도 여주시,1.80335
문화예술,전시시설,경기도 연천군,0.06124
문화예술,전시시설,경기도 가평군,4.93139
문화예술,전시시설,경기도 양평군,1.19255
문화예술,전시시설,강원도 춘천시,1.56919
문화예술,전시시설,강원도 원주시,2.77417
문화예술,전시시설,강원도 강릉시,1.54452
문화예술,전시시설,강원도 동해시,3.86438
문화예술,전시시설,강원도 태백시,1.31343
문화예술,전시시설,강원도 속초시,5.07555
문화예술,전시시설,강원도 삼척시,0.57836
문화예술,전시시설,강원도 홍천군,0.31787
문화예술,전시시설,강원도 횡성군,0.57542
문화예술,전시시설,강원도 영월군,0.60465
문화예술,전시시설,강원도 평창군,0.32373
문화예술,전시시설,강원도 정선군,0.51594
문화예술,전시시설,강원도 철원군,0
문화예술,전시시설,강원도 화천군,0.22876
문화예술,전시시설,강원도 양구군,0.30347
문화예술,전시시설,강원도 인제군,0.28061
문화예술,전시시설,강원도 고성군,0.25094
문화예술,전시시설,강원도 양양군,0.5245
문화예술,전시시설,충청북도 청주시,6.24362
문화예술,전시시설,충청북도 충주시,2.04782
문화예술,전시시설,충청북도 제천시,1.72442
문화예술,전시시설,충청북도 보은군,0.48487
문화예술,전시시설,충청북도 옥천군,0.8219
문화예술,전시시설,충청북도 영동군,0.96564
문화예술,전시시설,충청북도 증평군,0.27689
문화예술,전시시설,충청북도 진천군,7.46255
문화예술,전시시설,충청북도 괴산군,1.27459
문화예술,전시시설,충청북도 음성군,0.96044
