"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기,표본수,사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기,표본수,사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기,표본수,사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기,표본수,사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기,표본수,사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기
"종사자지위별",상용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2965,24.3,4.2,4.8,1.4,2.2,1.9,0.8,2980,18.8,4,3.2,1.6,1.5,1.5,0.7,3102,12.3,2.3,1.9,0.9,0.7,0.5,0.3,3300,15,2.8,2.9,1.2,2.1,0.9,0.4
"종사자지위별",임시근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,497,23.5,3.8,2.6,0.8,1,1.7,0.5,518,10.1,5.5,2.8,1.2,1,1.5,1.5,653,9,3.8,3.8,1,0.7,0.8,0.8,630,14.8,4.7,3.5,1.6,1.7,0.8,0.5
"종사자지위별",일용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,25,12,4.3,0.4,3.5,0.3,2.1,164,9.5,3.4,0.7,1.2,0.5,2.2,0.4,161,7.3,4.3,1.6,-,0.7,0.9,-,205,10.8,4.8,2.3,0.1,0.4,2.9,0.5
"종사자지위별",고용원이 있는 자영업자,12.3,4.3,2.3,0.8,2.9,0.6,0.6,248,29.4,7.6,8.8,1.3,3.9,1.3,2.1,337,20,8.7,2.6,1.1,1.5,1.3,0.9,395,16.2,2.8,1.3,1.7,1.6,1.5,0.4,357,5.3,1.7,1.6,1,0.5,0.6,0.2,356,8.7,1.4,2.4,0.2,0.7,0.4,1
"종사자지위별",고용원이 없는 자영업자,10.5,4,2,0.7,1.5,0.4,0.8,1637,21.2,5.2,2.2,0.6,2.8,1.2,1.5,2006,17,5.5,3.5,1.2,1.8,1.5,1.2,1755,10.9,3.4,2.6,0.7,0.7,0.7,0.7,1805,5.1,2.1,1.8,0.9,0.4,0.3,0.3,1557,11.4,2.3,1.4,0.6,0.4,0.8,0.4
"종사자지위별",무급가족종사자,7.7,9,1.2,0,0.4,0.6,1.5,139,20.1,7.6,-,-,0.3,1.9,4.4,250,15.5,4.6,4.2,-,0.4,0.9,3.7,173,4.6,10,3.1,0,1,1.6,2.8,235,5.2,0.4,0.8,-,0.4,-,0.7,188,11.6,1.8,1.8,0.4,-,1.9,0.2
"종사자지위별",기타종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,15.2,9.1,2.5,1.1,3.3,4.1,2.4,59,16.6,6.8,3.1,2.4,2.7,4.9,0.6,40,2.1,1.7,2.9,1,1,-,-,53,6.8,4.1,3.5,1.8,-,9.4,7.6
"종사자지위별",해당없음(무직),14.2,8.6,4.5,3.9,3.4,0.8,1.4,3857,19,11.6,6.4,4.6,4.5,3.2,2.5,3793,24.8,8.3,7.4,3.4,2.5,3.2,1.3,4044,14.7,5.9,5.2,2.8,1.3,1.8,0.8,3696,8,4.4,3.6,1.8,0.7,1.1,0.4,3757,12.2,4.8,5,2.4,1.5,1.5,0.4
"종사자지위별",임금.봉급 근로자,21,5.6,2.8,1.7,3.5,0.9,1.3,4617,24.8,6.6,4.3,1.2,2,2.5,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",100만원 미만,3.1,5.8,2.8,1,0.5,0.9,1,921,7.9,11.2,2,0.3,0.5,0.7,1.8,939,15.4,7.2,3.2,0.4,1.2,1.7,0.3,980,4.3,4.6,1.6,0.1,0.6,1.1,0.7,999,2.3,1.6,1.8,0.8,-,0.5,0.4,1098,6.4,3,0.9,1,0.7,0.2,0.3
"가구소득별",100~200만원,7.3,8.1,2.3,1.4,2.2,0.5,1.5,1007,10.8,8,5.4,1.3,0.9,1.6,4.3,929,16,5.4,3.6,0.7,1.6,0.9,1.7,923,7.9,4.9,2.3,1.3,0.5,0.9,1.8,1012,3.7,2.7,1.6,1,0.5,0.4,0.4,824,6.6,3.9,2.6,0.8,0.3,0.9,0.2
