"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균
"동거가구원수별",4인,0.6,3.3,10,31.5,34.4,18.2,1.9,4.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동거가구원수별",5인 이상,1,3.8,13.4,30.8,27.7,19.7,3.5,4.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"혼인상태별",미혼,0.7,3.1,9.7,31.5,35,18.3,1.8,4.59,2805,0.7,3.3,12.4,27.9,36.6,16.6,2.6,4.56,2925,0.9,4.4,17,28.6,36.3,11.9,1,4.35,2901,0.8,2.6,7.7,29.9,35.7,19.4,3.8,4.7,3041,0.7,3.4,8.4,27.5,37,20.1,3,4.7,2959,0.5,3.8,10.7,30.7,34.1,17.2,2.9,4.6,2704,0.6,1.6,6.2,29.6,42.6,17.3,2.2,4.7
"혼인상태별",기혼,0.8,4.3,10.9,30.7,33.2,17.9,2.2,4.54,6831,0.5,3.6,11.2,27.4,37.5,17.7,2.1,4.59,6121,0.7,5.8,17.7,28.7,34.5,11.2,1.5,4.3,5965,1,4.1,11,28.2,34.5,17.3,4,4.6,5713,1,5.2,12.5,31.3,31.7,16.3,2,4.4,5702,1,5.4,13,32.4,31.8,14.4,2,4.4,6093,0.6,2.9,8.5,33.4,37,15.9,1.8,4.6
"혼인상태별",사별/이혼/기타,2,7,12.5,34.3,25.4,15.6,3.3,4.34,966,0.9,3,12.9,23.9,36.1,19.8,3.4,4.65,1452,0.8,7.9,16.9,29.3,30.1,12.9,2.1,4.27,1194,0.7,5.3,10.5,29.7,33.2,16.9,3.6,4.5,1334,1.3,8.2,10.4,32,31.7,14.8,1.7,4.4,1388,1,6.7,15.4,31.2,31.5,12.6,1.6,4.3,1249,0.7,3.2,8.5,34.3,34.2,16.5,2.5,4.6
"가구주여부별",가구주,1,4.3,10.4,33,31.7,17.4,2.2,4.51,5001,0.6,3.1,11.5,29.2,35.5,17.5,2.6,4.59,5482,0.7,6.5,18.5,27.6,33.5,11.7,1.5,4.28,6563,0.8,3.9,10.1,28.8,35,17.4,4.1,4.6,5073,1,5.5,11.2,32,31.7,16.5,2.2,4.5,5133,0.8,5.6,11.9,32,32.7,14.8,2.2,4.4,5163,0.5,2.7,8.3,32.7,37.7,16.1,1.9,4.6
"가구주여부별",가구주 아님,0.7,4,10.8,29.9,34.2,18.2,2.2,4.56,5601,0.6,3.8,11.7,25.9,38.4,17.6,2,4.59,5016,0.7,4.9,16.6,29.7,35.5,11.3,1.3,4.33,3497,1,3.7,10,28.9,34.4,18.3,3.8,4.6,5015,0.9,4.6,11.2,29.1,34.2,17.7,2.3,4.5,4916,0.9,4.7,13.3,31.5,32.2,15.2,2.2,4.4,4883,0.6,2.5,7.4,32.2,38.9,16.4,1.9,4.6
"종사자지위별",상용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2965,0.3,2.4,8.7,29,38.3,17.2,4.1,4.7,2980,1.1,4.2,9.6,30.7,35,17.2,2.1,4.5,3102,0.5,2.8,11.2,33.1,34,16.1,2.2,4.5,3300,0.4,2,7.2,33,41.3,14.4,1.6,4.6
"종사자지위별",임시근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,497,1.9,4.2,12.6,29.7,33.7,14.6,3.4,4.5,518,0.4,5,12.9,37.3,27.9,14.4,2.1,4.4,653,1,7.4,12.2,34,30.9,13.2,1.3,4.3,630,0.2,2.3,7.5,29.8,38.4,19.4,2.5,4.7
"종사자지위별",일용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,1.1,6.5,10.8,29.8,30.3,19.4,2.2,4.5,164,0.8,7.9,16.2,35.9,23.2,14.4,1.7,4.2,161,0.7,8.3,11.5,31.1,25.5,20.4,2.5,4.4,205,-,1,13.1,34.4,34,15.4,2,4.6
