"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,종교활동,잡담/통화하기,사교모임,사회봉사활동,가족 방문,동호회모임,기타 여가활동,클럽/나이트,이성교제,표본수,종교활동,잡담/통화하기,사교모임,사회봉사활동,가족 방문,동호회모임,기타 여가활동,클럽/나이트,이성교제,표본수,종교활동,잡담/통화하기,친구만남,사교모임,사회봉사활동,가족 방문,기타 여가활동,이성교제,표본수,종교활동,잡담/통화하기,친구만남,사교모임,사회봉사활동,가족 방문,동호회모임,기타 여가활동,클럽/나이트,표본수,종교활동,잡담/통화하기,친구만남,사교모임,사회봉사활동,가족 방문,동호회모임,기타 여가활동,표본수,종교활동,잡담/통화하기,친구만남,사교모임,사회봉사활동,가족 방문,동호회모임,기타 여가활동,클럽/나이트
"가구주여부별",가구주,2106,6.2,0.1,2.8,0.4,0,2,0.2,0.1,0,2654,5.9,1.1,1.4,0.6,0.2,1.9,0.1,0.1,0.1,3138,9.3,1.4,1.1,1.7,1,0.4,0.2,2.5,2186,6.3,0.5,1.5,0.9,0.8,0.2,1.2,0.6,0,1804,6.4,0.3,1.1,0.5,0.7,0,0.4,0.6,2015,6.7,4.6,3.6,1.1,0.9,0.7,0.6,0.1,-
"가구주여부별",가구주 아님,2515,7.1,0.7,2.4,1.2,0,2.2,0,0,0.8,2359,8.5,1.6,1.4,0.6,0,1.9,0,0,0.5,1673,9.9,1.7,0.6,1.9,1,0.3,0.1,2.1,2215,6.5,1.4,1.6,1,0.8,0,0.6,0.3,-,1736,7.1,0.6,0.8,0.4,1.2,-,0.4,0.5,1911,7.8,7.6,3.3,0.6,0.7,0.5,0.5,0.2,-
"종사자지위별",상용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1463,4.5,1.2,0.6,0.8,0.7,0.4,-,1.8,1434,4,0.4,1.3,0.7,0.5,-,0.9,0.3,0.1,1232,3.9,0.2,1,0.2,0.2,0,0.3,0.1,1325,4.5,4.6,2,1.3,0.5,0.6,0.5,0.1,-
"종사자지위별",임시근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,230,8,1.4,-,1.6,0.4,-,-,2.4,188,7.6,0.8,2.3,0.6,1.6,-,0.2,1.2,-,202,8.9,1,0.7,0.4,4.2,-,1.4,2.6,235,9.7,13,5.8,0.4,0.3,0.3,0.3,-,-
"종사자지위별",일용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,19.2,-,1.3,0.3,-,1,-,1,48,11,-,5.2,0.7,-,-,-,-,-,66,5.9,-,-,-,-,-,1.9,-,77,5,5.8,5.6,-,-,-,-,-,-
"종사자지위별",고용원이 있는 자영업자,169,5.5,0,2,0,0,2.8,0,0,0,144,5,2,1.6,1.5,-,2.4,0.3,-,-,198,7.2,0.9,4.5,1.8,1.2,0.4,-,0.9,233,3.6,0.3,1.3,0.9,1.5,-,1.3,0.4,-,165,6.4,-,0.2,1.3,0.3,-,0.8,1.7,158,6.6,2.5,0.9,1.5,-,0.2,0.2,-,-
"종사자지위별",고용원이 없는 자영업자,578,5.6,0.1,4.5,0.3,0,3.4,0.1,0.1,0,748,6.4,2,1.7,0.9,-,2.4,-,-,-,939,9.5,1.2,1,2.9,0.8,0.5,0.2,2,729,6.1,0.7,2,0.9,1.4,0.1,1.2,0.9,-,577,6.7,0.6,0.9,1,1.6,-,0.4,0.5,653,7.6,4.8,3.9,0.3,2.3,0.2,0.5,0.4,0.1
"종사자지위별",무급가족종사자,86,13.2,0,13.2,0,1,0.7,0,0,0,58,14.3,3,4.6,1,-,-,-,-,-,109,23.5,0.6,0.5,3.8,1.5,1.2,-,3.5,64,15.2,2.4,-,10.6,-,-,1.5,1.6,-,56,20.5,-,-,1,2.8,-,-,-,64,10.3,15.2,2.8,0.9,4.2,1.4,-,1.7,-
"종사자지위별",기타종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,31,-,-,1.2,-,-,-,-,30,16.2,-,8.8,-,-,-,12.1,-,-,18,-,12.3,-,-,-,-,-,-,28,9,3.8,-,-,-,-,4.9,-,-
"종사자지위별",해당없음(무직),1749,8.1,0.6,1.7,1.3,0,1.7,0.2,0,0.5,1636,11,1.8,1.9,0.8,0,1.9,0.1,0.1,0.3,1772,12.6,2.2,0.8,1.9,1.5,0.2,0.2,3.1,1675,8.1,1.6,1.4,0.8,0.7,0.2,0.6,0.2,-,1224,9,0.5,1.1,0.4,1,-,0.1,0.6,1386,9.5,7.8,4.6,0.7,0.5,0.8,0.5,-,-
