"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,스포츠경기 간접관람,스포츠경기 직접관람,온라인게임 경기관람,격투스포츠 경기관람,표본수,스포츠경기 간접관람,스포츠경기 직접관람,온라인게임 경기관람,격투스포츠 경기관람,표본수,스포츠경기 간접관람,스포츠경기 직접관람,온라인게임 경기관람,격투스포츠 경기관람,표본수,스포츠경기 간접관람,스포츠경기 직접관람,온라인게임 경기관람,격투스포츠 경기관람,표본수,스포츠경기 간접관람,스포츠경기 직접관람,온라인게임 경기관람,격투스포츠 경기관람,표본수,스포츠경기 간접관람,스포츠경기 직접관람,온라인게임 경기관람,격투스포츠 경기관람
"17개 시도별",광주,492,62.2,11.7,0.4,0.6,475,62.2,24.3,0.2,0.2,451,69.8,22.8,5.5,2.5,294,66.5,12.3,6,0.8,452,49.8,6.2,2.3,6.1,447,51,10.6,4.3,2.6
"17개 시도별",대전,501,58.6,22.9,2.3,3.8,493,52.8,19.9,0.4,5.9,463,56,13.7,6.5,2.3,303,60.3,15,9.1,3.5,460,74.2,5.2,3.5,7.3,460,43.6,13.2,11.7,2.2
"17개 시도별",울산,426,58.5,18,1.3,1.9,425,50.1,15.8,1.9,1.8,406,56.1,16.4,6,1.4,221,19.3,15.1,2.2,1.2,390,40.1,1,1.4,0.7,393,49.7,11.4,3.8,1.5
"17개 시도별",세종,175,49.6,16.7,0.5,3.5,189,54,26.2,-,11.5,201,55.1,8.1,4,1.2,61,60,8.8,1.2,0,201,62.5,4.5,7.9,3.2,221,44.6,14.8,15.8,4.6
"17개 시도별",경기,1357,45.6,17.8,2.8,3.5,1325,60,24.3,3.5,6.9,1344,61.4,20.2,5.2,1.5,2408,41.2,11.9,5.3,3.3,1316,33.9,6.3,4.5,2.4,1326,31.9,5.1,2.6,1.1
"17개 시도별",강원,462,39.5,15.2,1.4,3.4,478,64.1,20.3,5.3,9.7,463,57.7,8.4,1.1,1.5,320,29.6,7.9,5.9,1.4,475,30.1,5.2,3.5,0.9,472,20.7,4.8,3.6,1.5
"17개 시도별",충북,512,47.5,11.2,0.6,1.5,501,51.1,14.5,-,4,475,47.6,8.4,4.2,3.5,321,43.1,11.9,5,3.9,480,58.5,3,3.5,3.7,482,41.1,7,22.1,0.9
"17개 시도별",충남,590,47.1,17.4,0.9,1.3,589,62.6,15.6,1.1,3.4,554,57.8,10.4,2.5,1.8,430,65,8.6,3.2,2.9,562,62.3,4.7,7.8,11.7,558,28.3,7.7,10.9,1.6
"17개 시도별",전북,551,65.2,13.1,0.2,1,560,82.8,27,1,0.4,496,53.2,12.3,4.8,4.3,375,51,12.7,7.7,8.3,511,36,2.2,3.9,2.5,523,31.1,8.9,4,3.9
"17개 시도별",전남,532,68.5,10.4,0,0,547,75.1,11.9,0.5,0.6,500,56,10.9,3,2.9,360,55.3,4.4,2.8,5.4,506,42.8,6.2,3.5,3.1,515,58.8,7.3,2.1,1.7
"17개 시도별",경북,669,26.7,8.7,0.2,0.7,666,76.8,10.2,2.3,4,611,46.3,10.9,1.2,1.3,557,42,7.1,2.6,1.1,623,47.6,6.9,3,1.1,620,53.5,7.2,3.3,0.9
"17개 시도별",경남,719,60.4,17.3,1.2,0.9,713,41.3,14.5,1.7,0.9,682,66.1,17.9,5,3.5,660,51.3,11.1,4.5,1.5,681,45.6,8.7,3.5,6.4,678,42.9,11.6,6.1,2.8
"17개 시도별",제주,300,63.6,21.2,1.9,3.3,308,72.4,19,2.6,3.9,302,68.1,8.5,1.6,1.8,120,68.1,7.6,11.1,0,302,82.3,1.3,5.4,0.5,300,83.5,2.4,6.2,1.8
"장애여부별",장애등록,-,-,-,-,-,124,62.1,7.4,2.6,1.9,151,53.8,10.8,1.9,1.7,225,42,2.3,3.2,2.4,218,46.5,0.7,0.5,1.3,151,47.4,2.7,1,0.5
"장애여부별",미등록,-,-,-,-,-,160,47.3,21.6,2.5,4.1,55,54.4,3.2,-,-,233,23,6.5,0.7,0.8,110,36.1,5.7,2.5,4,58,8.6,-,3.4,3.1
"장애여부별",해당사항없음,-,-,-,-,-,10214,59.2,21.5,1.9,4,9854,58.6,16.3,4.6,2.2,9630,48.4,11.6,5.2,2.9,9721,44.9,6.7,3.7,2.9,9837,41.3,8.1,5.1,1.8
"근무 형태",전일제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4189,47.8,9.5,5.7,1.8
"근무 형태",교대제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,287,47.1,13.9,4.7,3.2
"근무 형태",시간 선택제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,394,36.2,8.3,4.7,1.6
"근무 형태",해당 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1419,42.5,6.2,2.4,2.1
"유연 근무제 여부",시행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,528,44.1,12.5,5.4,3.3
"유연 근무제 여부",미시행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2959,47.7,9.2,4.3,1.9
"유연 근무제 여부",해당 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2802,44.2,7.7,5.5,1.6
