"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,기타,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,기타,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,기타
"가구주여부별",가구주,0,79.6,17,2.5,0.8,0.1,5001,82.2,14.2,3.2,0.3,0,5482,83.4,13.8,2.4,0.5,-,6563,75.5,22.9,1.4,0.2,0,5073,73.9,17.5,5,2.1,1.4,0.1,5133,77.6,16.1,3.5,1.8,0.9,0,5163,59.7,27,8.2,3.3,1.7,-
"가구주여부별",가구주 아님,0,82.7,14.6,2.2,0.5,0,5601,86.1,11.6,1.8,0.4,0.1,5016,84.9,12.5,1.9,0.6,0.1,3497,79.7,19.1,1.1,0.1,0.1,5015,73.2,19.3,4,2.2,1.3,0,4916,78.2,16.1,2.8,1.6,1.3,0,4883,60.2,28.7,6.5,2.6,2,-
"종사자지위별",상용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2965,71.4,26.5,1.8,0.3,-,2980,69.5,20.3,5.6,2.9,1.6,-,3102,73.8,18.5,3.9,2.3,1.5,0,3300,52.1,32.4,9.5,3.6,2.4,-
"종사자지위별",임시근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,497,78.6,19.5,1.8,0.1,-,518,73.7,19.6,4.2,1.1,1.5,-,653,80.7,11.7,4.3,2.1,1.3,-,630,65.7,22.8,7.2,2.5,1.9,-
"종사자지위별",일용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,76.5,23,0.2,-,0.3,164,65,24.5,6.1,3.1,0.9,0.3,161,79.5,12.4,7.7,0.4,-,-,205,65.7,19.2,10.1,3.6,1.3,-
"종사자지위별",고용원이 있는 자영업자,0,69.8,25.6,4.1,0.6,0,326,77.7,18,4.1,0.3,0,248,85.6,12,0.9,1.6,-,337,72.8,26.1,1.1,-,-,395,67.5,19.9,8.3,3.4,0.5,0.3,357,74.5,18,3.7,2.6,1.3,-,356,57.5,24.4,12.4,4.4,1.4,-
"종사자지위별",고용원이 없는 자영업자,0,83.4,13.7,2.2,0.6,0.2,1540,86.5,11.1,1.9,0.3,0.1,1637,87.4,11.1,1.5,0.1,-,2006,76.8,21.9,1.2,0.1,-,1755,74.3,16.7,5.3,1.8,1.8,0.1,1805,81.3,14.2,3.1,1.1,0.3,-,1557,64.6,26.3,5.5,2.8,0.9,-
"종사자지위별",무급가족종사자,0,91.7,6.3,1.3,0.7,0,233,93.4,5.3,1.3,0,0,139,90.7,9,0.3,-,-,250,79.1,19.5,1.4,-,-,173,83.4,14.1,-,2,0.5,-,235,90.5,7.5,1.1,0.3,0.6,-,188,70.8,24,3.9,1.3,-,-
"종사자지위별",기타종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,83.4,16.6,-,-,-,59,54.9,35,3.8,4.2,2.1,-,40,63.6,17.1,11.5,3.9,3.9,-,53,54.2,36.6,8.5,0.7,-,-
"종사자지위별",해당없음(무직),0,84.9,12.9,1.9,0.3,0,4293,87.6,10.9,1.2,0.4,0,3857,86.6,11.3,1.3,0.6,0.1,3793,82.5,16.5,0.8,0.1,0.1,4044,76.8,17.5,3,1.7,1,0.1,3696,79.1,16.2,2.1,1.4,1.2,0,3757,64.1,26.2,5.5,2.3,1.9,-
"종사자지위별",임금.봉급 근로자,0,77.6,18.7,2.7,1,0.1,4210,80.9,14.9,3.7,0.4,0.1,4617,81,15.3,3.1,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",100만원 미만,0,91.7,6.9,1.1,0.3,0,861,90.4,8.1,1.3,0.2,0,921,94.8,3.8,1.3,0.1,-,939,87.8,11.8,0.5,0,-,980,86.7,10.2,2,0.5,0.4,0.2,999,88,9.7,1.1,1.1,0.1,-,1098,75.5,18.8,3.7,1.1,0.8,0.1
"가구소득별",100~200만원,0,86.3,11.3,1.6,0.6,0.3,1075,89.1,9.6,1.1,0.1,0.1,1007,87.2,11.3,1.2,0.2,-,929,78.6,19.5,1.7,0.1,0.1,923,77.2,19.1,2,1,0.8,-,1012,84.6,12.6,1.4,0.8,0.5,-,824,72.8,21.5,2.6,1.2,1.9,-
"가구소득별",200~300만원,0,83.3,14,2.2,0.5,0,1594,87.4,10.4,1.7,0.4,0.1,1706,83.3,14.6,1.6,0.4,0,1613,82.5,16.1,1.2,0.2,-,1405,77,17.1,3.9,1.2,0.8,0.1,1421,82.2,12.7,2.9,1.4,0.8,-,1357,65.6,24,6.8,2.1,1.5,-
"가구소득별",300~400만원,0,81.4,15.6,2.3,0.6,0,2437,84.4,13.6,1.7,0.2,0.1,2246,85.3,13.2,1.2,0.1,0.1,2184,75.1,23.3,1.5,0.1,0,1824,75.3,17.1,4.2,2.1,1.2,0.1,1896,76.1,17.3,2.5,2.4,1.6,0.1,1764,59.9,26.5,8.3,3.8,1.5,-
"가구소득별",400~500만원,0,80.6,16.2,2.8,0.3,0,2231,84.9,11.9,2.6,0.5,0.2,2214,83.1,13.3,2.9,0.7,-,1785,75.1,23.1,1.4,0.3,0.1,1782,72.8,18.8,4.2,2.7,1.4,0.1,1611,71.9,20.7,3.8,1.6,1.9,0.1,1797,57.5,28.7,8.8,2.9,2,-
"가구소득별",500~600만원,0,78.1,18.9,2.2,0.7,0.2,1356,85.2,12.7,2.1,0,0,1405,82.8,13.1,2.6,1.4,-,1394,75.1,24.2,0.5,0.2,-,1407,69.6,21.5,5.1,2.2,1.6,-,1380,76.6,16.9,4.1,1.8,0.6,-,1532,54.9,31.8,7.9,3.1,2.3,-
"가구소득별",600만원 이상,0,71.6,23.3,3,2,0.1,1048,75.7,18,5.3,0.9,0,999,81.4,15.3,2.7,0.5,0.2,1216,76.4,21.9,1.6,0.1,0,1767,68.5,20.1,6.3,3.1,1.9,0.1,1730,76.3,16.6,4.1,1.7,1.3,-,1674,55.7,31.6,7.2,3.4,2.1,0.1
"가구소득별",무응답,0,100,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지역규모별",대도시,0,82.5,14.7,2.3,0.5,0,4611,85.8,12.1,1.9,0.2,0,4418,83.6,13.1,2.5,0.7,0.1,4235,82.2,16.7,0.9,0.2,0,4373,73.6,18,4.5,2.5,1.4,0.1,4330,79.6,15.4,2.7,1.1,1.2,-,4331,61.5,26.2,6.4,3.4,2.4,-
"지역규모별",중소도시,0,78.2,18.3,2.6,0.8,0.2,3610,81.9,13.8,3.6,0.5,0.2,3524,83.9,13.4,2,0.6,-,3331,71.3,26.6,1.9,0.1,0.1,3776,70,20.7,5.3,2.4,1.5,0.1,3486,71.8,20.3,3.8,2.6,1.4,0.1,3459,55.9,31,8.9,2.8,1.5,-
"지역규모별",읍면지역,0,85.1,12.5,1.8,0.6,0,2381,86.4,12,1.1,0.4,0,2556,86.3,12.2,1.4,0.2,0,2494,78.5,20.6,0.9,0,0,1939,80.3,15.3,2.7,0.9,0.8,-,2233,86.4,9.3,2.7,1.2,0.4,-,2256,65.2,25.6,5.7,2.1,1.3,0.1
"권역별",수도권,0,77.1,19.3,2.7,0.8,0.1,3289,81.5,14.7,3.2,0.6,0.1,3182,81.9,14.3,2.8,0.9,0.1,3179,73.9,24.2,1.6,0.2,0.1,4895,63,24.4,6.9,3.5,2,0.1,3135,67.6,23.3,4.3,2.8,1.9,0.1,3107,54.8,30.7,8.5,3.6,2.4,-
"권역별",강원/제주권,0,62.2,29.4,6.2,1.5,0.7,762,74.4,19.8,4.2,0.7,0.8,786,72.8,22.5,3.6,1.1,0.1,765,75.3,22.8,1.8,0.1,-,440,75.6,17.7,3.7,1.6,1.5,-,777,73.5,18,4.4,1.7,2.5,-,772,57,36.3,5.3,1.1,0.4,-
"권역별",충청/세종권,0,73.2,21.8,4,0.9,0,1778,86.3,11.8,1.8,0.2,0,1772,75,21.9,2.8,0.3,-,1693,76,23.4,0.6,-,-,1115,89.8,9.5,0.7,0,-,-,1703,98.5,1.4,0,-,-,-,1721,48.6,35.4,11.9,2.7,1.2,0.1
"권역별",호남권,0,94.8,5,0.1,0.1,0,1575,95.7,4.2,0.1,0,0,1582,99,1,-,-,-,1447,87.9,11.5,0.5,-,-,1029,69.7,21.3,4.8,2.4,1.9,-,1469,72.2,19.9,5.9,1.6,0.4,-,1485,61.6,30.8,5.4,1.9,0.3,0.1
"권역별",대경권,0,89.1,9.4,1,0.4,0,1302,90.9,7.9,1.2,0,0,1304,96.7,3.1,0.2,-,-,1195,81.3,16.8,1.3,0.5,0.1,1047,82.6,13.9,2.2,0.8,0.5,-,1203,91.6,6.9,1.2,0.3,0.1,-,1200,67.4,18.9,6.1,4.1,3.4,-
