"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타
"종사자지위별",고용원이 없는 자영업자,323,53.6,34.5,3.8,2.3,3.9,2,0,795,56.9,28,5.3,4.3,3.4,2.1,0,894,58.5,23.3,4.3,5.5,4.3,3.8,0.3,1013,62.3,22.3,4.2,5.4,2.8,2.5,0.5,1009,64.6,22.4,3.2,4.8,2,1.8,1.2,1080,63.8,16.8,8,4.4,3.3,1.8,1.9,792,48.7,30.3,5.6,6,5.3,3.2,0.8
"종사자지위별",무급가족종사자,67,65.1,22.4,6.6,1.1,4.7,0,0,137,46.3,33.8,8.9,6.2,0.5,4.3,0,75,58.7,22.7,7.1,3.9,7.6,-,-,151,65,10.9,0.9,17,3,1.6,1.6,106,55.3,23.4,4.8,7.9,1.3,5.2,2.1,149,63.8,14,5.8,8.5,5.8,1,1.2,109,42.2,27.4,4.2,12.9,8.5,3.3,1.6
"종사자지위별",기타종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,52.8,36.8,-,3.4,6.5,0.6,-,33,50.6,32.6,5,1.3,-,2.4,8.1,23,50.3,40.7,4.2,-,2.3,2.6,-,23,70.8,19.2,2.6,2.5,-,5,-
"종사자지위별",해당없음(무직),651,40.4,46,4.1,4.9,2,2.6,0,1721,38.4,39.8,7,6.2,5.2,3.5,0,1803,36.6,37.5,6.1,8.4,4.4,6.2,0.8,1529,35.7,37.5,6.8,7.3,4.2,5.8,2.8,1754,32,41.1,7.6,5.5,3.8,5.8,4.2,1646,26.5,38.5,9.5,6.4,4.4,8.7,5.9,1520,25.6,40.7,10.1,8.9,5.4,6.6,2.8
"종사자지위별",임금.봉급 근로자,506,44.3,40.4,6.2,3.4,2.6,3,0,1925,59.4,29,4.6,2,3.7,1.2,0,2363,58.9,27.5,5,3.1,3.1,2.4,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",100만원 미만,277,14.7,65.4,3.5,6.3,5.7,4.4,0,369,10.1,49.7,8.1,15.1,7.1,9.8,0,460,11.9,47.9,6.8,12.5,5.2,14,1.7,423,10.5,50,5.9,13.4,3.5,10.4,6.3,526,11.8,55.4,4.4,10.3,1.6,10.5,6,512,9.5,49.5,7.5,11,4.5,13,5,536,5.9,53.1,7.9,12.5,5,11.1,4.5
"가구소득별",100~200만원,186,33.8,48,5,5.4,3.2,4.5,0,465,28.4,43.7,9.9,8,3.8,6.2,0,498,28.7,44.4,3.9,10.4,3.6,8.2,0.9,421,30.5,43.9,5.7,7.8,4.3,5.7,2,492,28.3,41.6,6.9,7.8,3.5,8,3.9,545,25,36.1,10.7,10,6.6,7.2,4.4,385,16.8,42.8,10.6,13.9,6,7.4,2.5
"가구소득별",200~300만원,275,45.3,45.3,4.1,2.1,1.3,2,0,759,43.2,36.9,7,6.2,3.4,3.3,0,833,43.6,33.5,5.8,6.9,4.9,4.9,0.5,774,41.9,36.1,6.9,6,3.1,5.1,0.9,761,40.5,41.1,4.3,5.2,2.5,3.8,2.6,738,40.8,32.9,7.6,5.2,4.5,6,2.9,593,31,36.2,10.3,10.6,6.4,4.4,1
"가구소득별",300~400만원,370,50.2,38,6.4,1.8,3,0.7,0,1150,52.6,33.6,5.5,2.4,4.2,1.7,0,1046,53.5,28.1,5.6,4.7,4.1,3.9,0.2,995,56,23.7,5.3,4.9,4.5,4.5,1.1,918,51.6,29.5,5.7,5.2,3.1,2.8,2.1,982,51.8,27.9,6.7,2.8,3.3,3.6,3.9,815,38.5,36,8.2,6.6,5,3.7,2
"가구소득별",400~500만원,291,58.3,29.8,4.7,4.3,0.8,2.1,0,960,55.7,30.9,6.2,3.1,3,1.1,0,1151,54.9,27.5,5.9,4.9,3.5,2.8,0.4,825,58.9,24.7,5.5,5.3,2.7,2.2,0.8,844,57.6,26,6.4,2.4,3.5,2.8,1.3,807,54.3,26.2,7.2,2.6,2.8,3.2,3.7,776,46.6,33.1,6.6,3.3,5.8,4.2,0.5
