"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균
"권역별",수도권,1812,8.4,14.6,14.7,20.4,41.8,68.2,1777,9.6,15.2,15.1,23.3,36.8,65.4,1575,3.1,15,12.2,18.8,50.9,69.8,1949,5.4,11.3,10.3,17.4,55.6,98.4,1064,5.7,10.5,11.8,19.7,52.3,87.3,1268,4.3,9.9,9.8,15.8,60.2,105.1
"권역별",강원/제주권,329,8.7,10.5,9.6,10.7,60.4,107.1,374,9.5,16.6,13.3,12,48.6,90.6,372,4.1,17.7,13.2,16.6,48.4,68.2,143,1.8,7.3,18.9,17.9,54.1,79.1,357,2,11.3,10.7,21.2,54.9,94.4,342,5.9,12,7.2,10.8,64.1,121.2
"권역별",충청/세종권,857,12.3,19.9,21.5,15.9,30.4,53.9,883,14.8,16.9,16.6,23.1,28.7,62.3,800,3.5,13.8,12.3,27,43.3,61.3,378,7.1,11.5,12.5,13.6,55.3,95.5,408,3.3,9.7,9,16.5,61.5,94.4,515,4,12.7,7.2,9.9,66.2,120.2
"권역별",호남권,324,11.1,14.7,13.9,21.1,39.3,58.7,277,8.1,12.9,15,20.5,43.6,67,614,5.3,14.2,9.7,22.5,48.3,67.4,405,3.1,13.9,14.3,17.8,50.9,104,506,6.9,9.4,11.7,16,56,103.6,449,2.9,7,7.6,16.6,65.9,131.5
"권역별",대경권,550,7.3,10.4,13.3,23.6,45.3,71.8,581,4.3,19.7,15.2,22,38.8,67.7,430,4.1,15.5,15.8,17.6,47,66.6,573,2.1,10.5,15.6,22.8,49,85,523,3.6,11.2,18.2,27.7,39.3,68.9,516,2.1,8,16.4,28.3,45.1,71.3
"권역별",동남권,749,7.2,13.9,17.7,18.7,42.5,72.6,1121,7.1,17.2,14.9,23.4,37.5,60.3,1020,3.7,12.4,13,18.3,52.6,75.2,960,2.7,8.8,11.6,13.8,63.2,105.4,682,5.8,12.5,12.5,15.9,53.3,93.9,836,5,8.5,10.2,15.3,61,99.9
"17개 시도별",서울,720,8.1,12.7,14.5,18.9,45.8,69.3,695,7.8,12.1,15.3,23.6,41.2,70.3,609,2.9,15.4,11.3,17.2,53.2,72,693,4.6,10,10.7,18.1,56.5,93.7,355,8.4,10.3,11.6,21.5,48.3,82,551,2.7,10.1,10.3,13.2,63.6,107.3
"17개 시도별",부산,303,6.9,11.6,17.2,20.1,44.2,77.8,516,4.3,15.5,12.9,24.4,42.9,65.7,411,4.8,11.6,14.1,18.4,51.2,73.1,467,2.3,8.1,8.8,13.5,67.3,112.2,310,7.8,12.9,12.6,14.5,52.2,89.5,319,2.7,6.9,9.4,16,65,100.9
"17개 시도별",대구,273,5.6,11.6,16.4,25.8,40.5,65.2,298,4.3,20.3,14.8,17.9,42.7,66.5,218,1.7,15.9,19.8,19.6,43,65.4,277,1.9,11.1,15.8,22,49.2,80.7,283,4.3,11.9,16.2,27.1,40.6,66.3,254,1.3,9.3,20.9,28.6,39.8,64.3
"17개 시도별",인천,411,5,17.4,19.1,19.5,39,65.3,334,10.3,9.2,13.4,29.8,37.3,60.9,285,1.8,9.8,15.4,15.6,57.3,70.9,277,4.2,8.5,6.3,10.8,70.2,157.8,216,3.7,4.5,6.7,13.1,72.1,142.6,287,7.2,8.2,7.7,18.1,58.8,106.8
