"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기,표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기,표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기,표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기,표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기,표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기
"권역별",수도권,3289,80.7,62.4,63.6,39.5,21,16.7,6.1,1.9,8.4,3182,81.9,76,68.3,39.5,23.3,17.5,8.1,1.9,7.6,3179,74.4,77,64,32.7,23.5,9.8,9.8,0.4,2.6,4895,83.1,75.2,69.7,30.6,23.2,8.6,5.4,3.1,3.5,3135,77.6,73.5,58.2,14.6,19.4,5.9,3.1,3,1.6,3107,68.9,58.6,47.2,18,16.8,5.1,2.7,0.5,1.4
"권역별",강원/제주권,762,75.8,52.7,53,31.2,27.6,6.5,15.8,6,3,786,80.6,83.7,77.5,51.4,22.4,14.5,17.3,8.3,4.6,765,73.2,81.5,64.6,40.6,22.9,12.5,6.3,0.8,1.5,440,85.9,81.1,83,27.4,16.1,11,8.6,2.6,2.1,777,88.9,82.1,74.2,19.7,18.7,7.7,5.3,4.1,0.2,772,79.6,71.2,60.3,26.5,19.3,7.4,5.1,0.8,1.4
"권역별",충청/세종권,1778,83.2,62.5,67,47.6,18.7,15.6,5.6,1.4,7.3,1772,88.7,84,71.7,50.6,19.3,17.7,8.8,4,7.9,1693,82.1,89.1,72.7,50.1,24.2,9.8,9.3,2.2,1.7,1115,94.1,97,88.5,52.7,18.1,10.9,6.1,14.7,3,1703,93,96.2,86.5,28,13.6,6.7,4.7,6.4,0.6,1721,89.1,88,77.9,33.3,17.1,5.1,4.8,9.3,2.7
"권역별",호남권,1575,84.8,82.7,76.1,36.1,29,4.4,7.6,1.7,0.7,1582,91.3,94.5,78,43.6,25.4,8.3,5,1.2,1.9,1447,82,89.2,71.3,52.3,26.4,11.2,10.4,3.2,3.2,1029,87.5,89.6,87.6,57.2,25.1,8.4,6.3,3.8,4,1469,87.9,74.7,79,34.1,21.2,5.1,5,10.1,0.5,1485,76.1,76.7,69.2,38.4,24.7,7.4,6.7,2.9,0.6
"권역별",대경권,1302,83.3,80.9,69.1,56,14.6,11,4.8,2.8,3.7,1304,88.9,91.2,73.5,56,16.1,14.7,7.7,3.1,6.5,1195,87.4,88.7,78.9,56.5,12.8,7.9,7.6,0.2,4.3,1047,98,97.8,88.2,65,21.1,9,5.4,3.9,2.9,1203,95.9,98.4,85.1,39.1,15.5,7.1,4.9,5.7,1,1200,83.8,87.4,72.5,45.4,13.3,8.5,4,3.1,1.4
"권역별",동남권,1896,71.5,68.5,62.6,49.2,19.9,19.3,6.1,2.2,8.9,1872,87.7,81.6,78.2,61.6,11.1,14.9,3.9,1.4,8.4,1781,87.7,86.8,75.5,52.8,19.7,12.6,9,0.9,2.5,1562,91.9,89.2,86.8,59.9,17.9,11.9,5.3,1.1,3.1,1762,90.2,91.4,78.4,33.5,15.9,8.3,4.1,0.8,0.4,1761,86.8,85.6,76.2,48.5,17.5,8,4.7,0.4,1.7
"17개 시도별",서울,1257,82,63.8,56.6,37.9,19.2,13.9,4.7,2.6,7.7,1220,83.3,75.5,68.3,32.2,21.9,16.7,6.4,2.8,9.5,1191,80.7,75.8,63.2,34,23.8,10.2,9.2,0.5,4.1,1931,84.2,71.1,64.1,30.3,22.6,8.5,4.6,2.6,3.7,1195,77.1,74.4,59.2,13.4,21,5,3.3,2,2.5,1164,73.7,56.7,45.7,18.4,16.7,5.8,2.4,0.8,1.8
"17개 시도별",부산,751,70,65,55.5,47.1,18.8,25.5,4.3,3.2,10.9,734,89.8,82.4,77.3,63.9,9.8,19,2.6,1.8,7.8,693,90.9,86.3,79.7,56.9,19.3,8.7,6.1,1,3.8,681,91.8,87.8,84.4,61.6,23,8.5,3.2,0.5,4.8,691,91.8,91.7,78,40,17.9,8.7,4.2,0.8,0.6,690,88.5,84.8,77.1,50.4,20.1,8.6,4.4,0.4,0.9
"17개 시도별",대구,633,79.8,81.2,77.5,59.2,17.6,10.5,4.8,4.4,4.2,638,93.4,91.4,76.3,56.8,17.6,18.2,5.3,5.1,7.4,584,92.3,90.7,79.3,59.8,11.2,7.9,6.4,0.3,5.6,490,98.5,97,86.8,63.4,19.9,10.4,5.3,0.6,3.3,580,98.1,98.6,84,36.8,14.3,6.6,3.3,2.9,0.7,580,83,86.4,66.1,40.7,14.1,8.3,4.3,5.1,1.3
"17개 시도별",인천,675,81.1,73.5,64.5,46.4,22.5,14.8,4.8,1,7.6,637,91.4,78.4,58.5,40.4,17.3,17,4,-,2.7,644,72.9,86.3,65.8,17.3,25.3,10.4,7.3,0.4,0.7,556,87.2,86.2,76.6,42.6,17.6,5.4,7,5.3,2.3,624,87.4,85.5,70.5,19.7,15.8,7.5,3.9,5.2,0.6,617,63.9,60.2,44.6,14,21.9,5.4,4.2,-,0.8
