"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),영화관람,전시회관람,박물관 관람,연극공연 관람,연예공연 관람,음악연주회 관람,전통예술공연 관람,무용공연 관람,표본수,영화관람,전시회관람,박물관 관람,연극공연 관람,연예공연 관람,음악연주회 관람,전통예술공연 관람,무용공연 관람,표본수,영화관람,전시회관람,박물관 관람,연극공연 관람,연예공연 관람,음악연주회 관람,전통예술공연 관람,무용공연 관람,표본수,영화관람,전시회관람,박물관 관람,연극공연 관람,연예공연 관람,음악연주회 관람,전통예술공연 관람,무용공연 관람,표본수,영화관람,전시회관람,박물관 관람,연극공연 관람,연예공연 관람,음악연주회 관람,전통예술공연 관람,무용공연 관람,표본수,영화관람,전시회관람,박물관 관람,연극공연 관람,연예공연 관람,음악연주회 관람,전통예술공연 관람,무용공연 관람
"가구주여부별",가구주,48.6,7.3,8.4,5.9,5.1,2.2,4.4,1.1,5482,57.1,7,8.1,9.2,5.8,3.5,5.9,1.1,6563,60.6,8.7,9.6,7.5,6.2,3.5,3.7,0.9,5073,50,6.9,8,5.4,3.7,2.6,3.3,0.9,5133,35.5,5,4.3,2.7,2.3,1.3,1.1,0.2,5163,34.6,6,5.8,3,2.9,1.9,1.4,0.4
"가구주여부별",가구주 아님,71.2,10.9,11.5,12.8,10.7,4.6,3.1,2.2,5016,77.6,10.9,11,16.4,11.6,4.5,3.9,2.2,3497,75.9,14.1,11.5,13.6,8.9,5.8,3,1.1,5015,67.9,11.7,10.2,10,6.7,4,2.6,1,4916,50.7,6.7,5,4.1,4.1,1.4,0.8,0.7,4883,53.3,10.9,7.7,7.1,6.1,2.6,1.7,0.8
"종사자지위별",상용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2965,81.3,13.6,11,12,8.5,5.7,2.9,0.9,2980,74.7,12.1,11.9,11,7,4.4,2.7,1.3,3102,55,7.6,6,5.2,4,1.2,1.2,0.4,3300,55.2,9.7,8,6.3,5.2,2.3,1.4,0.6
"종사자지위별",임시근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,497,62.5,7.6,8.8,7.5,6.4,1.9,1.1,0.5,518,57,11,5.8,6.9,5.7,4.1,3.1,1.4,653,35.9,6,3.6,3.1,2.4,1.6,0.7,0.8,630,44.1,8.4,5.5,5.6,6.3,2.2,1.5,0.4
"종사자지위별",일용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,56.9,10.4,4.4,13.4,7.4,2.3,5.3,0.6,164,37.7,5.7,8.5,3.8,5.8,4.1,3.3,1.4,161,24.9,5.7,4.2,4.1,2.3,2.9,-,-,205,35.9,8.5,2.8,5.8,5.3,3.9,0.1,-
"종사자지위별",고용원이 있는 자영업자,50.1,4.7,8.5,5.5,4.8,2.1,9.5,2.1,248,65.8,5.7,14.5,12.7,8.5,5.3,7.3,3.5,337,70.3,10.2,14.8,8.9,7.7,5.3,2,2.2,395,63.4,10.6,7.8,5.9,6.6,3,3.5,1.7,357,39.2,5.5,4.3,3.8,2.7,1.9,0.1,0.3,356,39.9,6.5,6.5,3.3,4.6,3.2,0.9,0.8
"종사자지위별",고용원이 없는 자영업자,39.2,4.9,5.6,3.4,4.2,2.2,3.5,0.2,1637,55.4,5.5,6.6,4.9,5.1,2.2,5.5,0.9,2006,58.9,8.3,7.9,7.4,6.2,3.8,3.8,0.8,1755,48.8,6,6.6,4.6,3.4,1.5,2.7,0.8,1805,32.7,3.4,2.9,1.3,2,1,0.9,0.5,1557,33.3,4.4,3.6,2.4,2.9,1.1,1.3,0.3
"종사자지위별",무급가족종사자,37,3.3,5.9,4.6,4.2,1.2,4.9,0.8,139,46.7,4.5,9.2,1.8,5.8,1.4,8.2,2.3,250,44,5.9,7.2,6.1,4.4,3.3,4.4,0.1,173,33.3,4.9,6.3,2.5,3,1.3,5.4,0.5,235,23.9,3.7,2.2,1.9,3.7,0.6,0.4,1.1,188,26.1,2.9,4.2,2,4.6,0.9,1.3,1.4
"종사자지위별",기타종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,58.8,8.3,10.2,9,12.9,4.8,4.7,2.3,59,57,15.9,11.9,11.1,5.8,8.2,7.6,0,40,68.4,6.5,2.6,2.9,2.5,6.2,-,-,53,54.5,16.2,7.9,18.6,2.5,4.6,10.3,9.4
"종사자지위별",해당없음(무직),61.7,10.2,11.4,10,8.5,4.1,4,1.7,3857,64.2,10.3,11.3,12.6,9.9,3.4,6.1,1.9,3793,63.9,11.6,11.6,11,7.4,3.7,4.4,1.2,4044,56.5,9.4,9.2,8,5,3.5,2.9,0.6,3696,41.8,5.7,4.8,3.1,3.6,1.5,0.9,0.4,3757,42.6,10.3,7.9,5.6,4.8,2.6,1.8,0.7
"종사자지위별",임금.봉급 근로자,70.7,10.6,10.7,12.5,10,3.7,2.9,2.3,4617,76.8,9.7,9.1,16.5,9.5,5.2,3.3,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",100만원 미만,11,2.2,2.6,2.3,1.5,0.3,5.1,0.4,921,23.9,3.6,3.6,2,3.7,0.7,11.5,0.7,939,23.6,2.9,5.7,3.3,3.3,0.7,2.9,1.5,980,18.7,2.3,1.7,1.4,1.7,0.2,1.5,0.3,999,14.5,2.5,2,1.1,1.6,0.5,0.5,0.2,1098,12.8,2.9,2.1,1.5,2.1,1.1,1.2,0.6
"가구소득별",100~200만원,22.6,4.9,5.7,2.6,4.9,1.5,6.2,0.6,1007,27.8,5.3,5.3,4.7,3.8,1.5,8.6,1.6,929,34.5,4.3,6.5,4.3,5.2,1.9,4.7,0.5,923,24.1,3.7,4.2,2.4,2.5,1.9,3.7,0.3,1012,21.3,2.5,1.7,0.4,1.8,1.2,0.5,0.1,824,18.5,2.7,3.3,1,2.2,0.9,1.9,0.8
"가구소득별",200~300만원,51,7.1,9.4,5.4,7.2,2.7,4.5,0.9,1706,56.6,7.8,8.7,9.9,6.2,3.4,6.2,1.3,1613,57.6,7.5,8.4,5.1,5.1,3.4,3.7,0.4,1405,47.5,5.1,5.9,5,4.4,2,2.8,0.8,1421,36.5,4.1,2.7,2.1,3,0.8,0.8,0.4,1357,32.7,4.4,4.8,3.1,4.3,1.4,1.5,0.6
"가구소득별",300~400만원,64.4,9.1,11.5,8,7.2,3.2,2.6,1.6,2246,71.6,8.2,10.2,10.8,7.3,2.4,4,1.6,2184,73.2,9.1,10,10,6.8,3.7,3,1.1,1824,60.4,8.6,9.1,6.2,3.3,3.5,3.5,0.7,1896,44,5.6,5.2,3.7,2.1,1.6,0.6,0.2,1764,42.1,8.7,7.9,4.3,3.9,1.9,1.8,0.7
