"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,모름/무응답,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,모름/무응답,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균
"동거가구원수별",4인,-,0.1,0.2,1.3,8.3,23.3,38.8,27.9,0,5.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동거가구원수별",5인 이상,-,0.2,0.2,1.4,9.4,20.4,37.1,31.2,0,5.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"혼인상태별",미혼,-,0.2,0.1,1.1,8.6,21.8,38.3,29.8,0,5.86,2805,0.3,0.4,1.9,9,24.3,40.3,23.9,-,5.73,2925,0,0.2,2.4,11.6,29.8,36.6,19.4,5.58,2901,0.1,0.5,3.2,20.4,31.4,30,14.4,5.3,3041,0.4,0.4,2.1,14.2,24.5,33.2,25.2,5.6,2959,0.3,0.8,2,12.3,24,34.8,25.7,5.7,2704,0.2,0.5,3.4,19.6,29.5,29.7,17.1,5.4
"혼인상태별",기혼,-,0.1,0.3,1.6,8,22,38.7,29.3,0,5.85,6831,0.2,0.3,1.6,9,25.4,37.5,26,-,5.75,6121,0,0.5,1.6,10.5,28.1,35.3,24,5.68,5965,0.1,0.5,3.2,20.8,30.2,28.9,16.3,5.3,5713,0.1,0.4,1.6,15,24.7,34.1,24.2,5.6,5702,0.2,0.5,1.9,11.7,24.2,36.3,25.2,5.7,6093,0.1,0.4,2.7,17.9,30,30,18.8,5.4
"혼인상태별",사별/이혼/기타,-,0,0.6,1.1,7.9,21.8,39.7,28.8,0.1,5.86,966,0.2,1.4,2.1,11.1,23.3,31.7,30.1,-,5.72,1452,0,0.5,4.6,10.7,27.2,32.2,24.9,5.61,1194,0.3,0.6,3.7,22.3,28.2,28,17,5.3,1334,0.2,0.7,2.9,12.8,23.2,33.3,27,5.7,1388,0.4,0.5,1.2,11.9,21.3,33.7,31,5.8,1249,0.2,0.2,1.9,23.8,25.6,25.7,22.7,5.4
"가구주여부별",가구주,-,0.1,0.4,1.8,9,21.5,39.2,28.1,0,5.82,5001,0.2,0.4,2.1,9,24.1,37.1,27.1,-,5.76,5482,0.1,0.5,1.9,10.9,27.1,35.4,24.2,5.67,6563,0.1,0.5,3.2,21.9,30,28.4,15.9,5.3,5073,0.1,0.5,2.1,13.8,24.5,33.7,25.2,5.6,5133,0.2,0.7,1.6,11.7,24.4,35,26.3,5.7,5163,0.2,0.3,2.5,19,29.4,29.6,19.1,5.4
"가구주여부별",가구주 아님,-,0.1,0.1,1.2,7.7,22.2,38.4,30.3,0,5.88,5601,0.3,0.4,1.5,9.2,25.6,38.5,24.6,-,5.73,5016,0,0.3,2.2,10.8,29.6,35.4,21.7,5.63,3497,0.1,0.5,3.3,19.5,30.9,30.1,15.6,5.3,5015,0.2,0.3,1.7,15.2,24.6,33.8,24.3,5.6,4916,0.3,0.4,2,12.1,23.3,36.1,25.7,5.7,4883,0.1,0.5,3.1,18.7,29.6,29.7,18.3,5.4
"종사자지위별",상용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2965,0,0.6,2.6,20,30.5,29.5,16.8,5.4,2980,0.2,0.3,2.1,14,24.1,34.3,25,5.6,3102,0.4,1,2.2,13,22.6,35.8,25,5.6,3300,0.3,0.4,2.9,18.9,30.8,28.7,18,5.4
"종사자지위별",임시근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,497,-,-,3,23.3,28.9,29.1,15.6,5.3,518,-,0.6,1.6,12.9,23.5,32.4,29,5.7,653,0.2,0.6,1,12,23.2,33.6,29.2,5.8,630,-,0.1,2.3,16.1,27.8,29.5,24.3,5.6
"종사자지위별",일용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,-,1.1,3.9,26.8,32.1,28.5,7.6,5.1,164,-,1.3,0.2,12.3,24.6,32,29.6,5.7,161,-,1.9,2,14.4,18.4,30.4,32.9,5.7,205,-,0.7,1.7,11.9,28.5,36.4,20.8,5.6
